algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,24,5.173749364729503,0.7463666464202106,1.4862981063624223,0.8437602358336063,3.5720058605074883,0.999999980131785,1000.0,0.7869653767820773,0.9093904448105437,3.742706546341814,0.0,138.36075864519393,0.0,2413.1754517235,0.0,19.77494591474533,2.1647454212109247,138.36075864519393,0.0,0.8006464394607714,0.0,0.8679402457322681,0.0,3.742706546341814,1.4776692856196085,0.8006464394607714,0.8679402457322681,16.14208850860596,281.53713603440843
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,25,5.173749364729503,0.7653758111409843,1.2340631072719892,0.8769686204854944,2.446865433738345,0.9999999711910884,1000.0,0.8440847959881468,0.9125184820108427,3.9143750065914995,0.0,133.18372344970703,0.0,2502.386761345737,0.0,2.0114840056215013,0.9090544929107031,133.18372344970703,0.0,0.83008502636637,0.0,0.8357931788453861,0.0,3.9143750065914995,1.3511209571871523,0.83008502636637,0.8357931788453861,11.653575801849366,218.95884161775194
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,26,5.173749364729503,0.7659487309555213,1.1402918154994646,0.8745052386495926,3.243921062350273,0.9999999791383744,1000.0,0.839142091152815,0.912980068060282,3.979885969879428,0.0,131.3344539642334,0.0,2620.5244869553176,0.0,2.166746146976948,0.825307109951973,131.3344539642334,0.0,0.8327676624059677,0.0,0.8230027235647184,0.0,3.979885969879428,1.313661907124169,0.8327676624059677,0.8230027235647184,10.944537830352782,218.37704057960983
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,27,5.205723464321034,0.7702624811170001,1.183111138145129,0.8878563355519277,3.197756376862526,0.9999999721844991,1000.0,0.8683370179317121,0.908273381294964,4.067565885304076,0.0,136.0053279876709,0.0,2984.452929927155,0.0,5.192930638045072,0.7599690854549408,136.0053279876709,0.0,0.7754381611943245,0.0,0.8520736512023369,0.0,4.067565885304076,1.2725818357834267,0.7754381611943245,0.8520736512023369,11.333777332305909,248.7044108272629
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,28,5.282261813744574,0.7655778970569372,1.164646647622188,0.8606811145510836,3.3154589167008033,0.999999980131785,1000.0,0.8151607298001737,0.9115861063881467,4.121176792223052,0.0,128.56028131338266,0.0,2757.06332024888,0.0,10.201380131336359,1.379766438404719,128.56028131338266,0.0,0.8275037665779774,0.0,0.8052865101574278,0.0,4.121176792223052,1.2565450216033636,0.8275037665779774,0.8052865101574278,13.927363808949789,298.6818596936286
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,29,5.431281417993222,0.76804164564237,1.3295956954360009,0.8669881218393509,3.6342504819234214,0.9999999751647314,1000.0,0.8279424977538186,0.909898790422118,4.196284903244714,0.0,128.8152411778768,0.0,2912.3934210679786,0.0,16.18947051713864,1.4578084389368693,128.8152411778768,0.0,0.8114659922818342,0.0,0.8054363306460767,0.0,4.196284903244714,1.210489011660798,0.8114659922818342,0.8054363306460767,12.881524117787679,291.2393421067979
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,30,5.431281417993222,0.7519449820742011,1.4257803502182165,0.8427937915742794,3.254436550469234,0.9999999781449636,1000.0,0.7871194864361152,0.9069434502505369,4.247159022427804,0.0,132.5439179519127,0.0,3142.5148901081584,0.0,29.319612182419874,2.6919884224732717,132.5439179519127,0.0,0.7566095662528071,0.0,0.831387086871009,0.0,4.247159022427804,1.2102516970768284,0.7566095662528071,0.831387086871009,16.015723419189452,379.7205492214025
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,31,5.5370444709937265,0.7730033114242058,1.1719307626287143,0.8826462361668491,3.7642234802246093,0.9999999811251958,1000.0,0.8571091166745395,0.9097518174981198,4.2764628272132255,0.0,128.6992660522461,0.0,2805.7158140008682,0.0,1.9761624030768872,1.5810396035512289,128.6992660522461,0.0,0.7755336716771126,0.0,0.8079884413803595,0.0,4.2764628272132255,1.220014870757079,0.7755336716771126,0.8079884413803595,10.724938837687175,233.80965116673903
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,32,5.991727936638248,0.7434758158400655,1.5072767662505309,0.8360850329124853,3.359570392246904,0.9999999721844991,1000.0,0.7765083183002606,0.9055633473585788,4.417009327421966,0.0,125.28882651493467,0.0,3119.508886981454,0.0,18.64136203815197,4.6251145084699,125.28882651493467,0.0,0.7937962474494145,0.0,0.785334526277052,0.0,4.417009327421966,1.1011252876236675,0.7937962474494145,0.785334526277052,15.139066537221273,376.9406571769257
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,33,6.319432527389425,0.7835341467522084,1.0975312389433385,0.8944686140459912,3.408649295568466,0.999999984105428,1000.0,0.875,0.9148232901093313,4.473389213258878,0.0,126.71320300632053,0.0,2891.0141994639052,0.0,3.9557483125891952,2.0110836466153463,126.71320300632053,0.0,0.7609840176171727,0.0,0.7957825650052092,0.0,4.473389213258878,1.0729807859266118,0.7609840176171727,0.7957825650052092,9.50349022547404,216.8260649597929
