algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,0,6.340948878747915,0.8144392292201519,0.9751330822706222,0.0,2.6393593084812164,2.6389588069915773,3.0,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,1,7.527218142511456,0.8636354777216911,0.5849181540310383,0.0,2.639527267217636,2.638694052696228,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,2,8.014028447951489,0.8807394766807556,0.4703138745576143,0.0,2.6385484707355498,2.640282835960388,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,3,8.500838753391522,0.8896467278897763,0.41654848732054234,0.0,2.6393563359975816,2.6385845351219177,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,4,8.987649058831554,0.8954469761252404,0.38437131851911543,0.0,2.6385202491283417,2.6396768641471864,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,5,9.474459364271587,0.8995659755170345,0.3628166864067316,0.0,2.6393851643800734,2.6399210333824157,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,6,9.961269669711617,0.9027712263166905,0.34696076974272727,0.0,2.6393802762031555,2.6408489418029784,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,7,10.44807997515165,0.9053864766657352,0.3348754979670048,0.0,2.639531738758087,2.640826041698456,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,8,10.934890280591683,0.9075309762358665,0.3252168869227171,0.0,2.6401064443588256,2.639790465831757,2.5,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,9,11.384102372721015,0.9093687276542187,0.3170719182491302,0.0,2.639283147454262,2.640471580028534,2.0,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,10,11.509849499608084,0.9109997269511223,0.31013682812452315,0.0,2.639734887480736,2.6398413515090944,2.0,1.0,0.0
dp-fedavg,label_flip,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,10,11,11.63559662649515,0.9125729767978191,0.3040172418951988,0.0,2.6392512464523317,2.6391313529014586,2.0,1.0,0.0
