algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,5.40745578067512,0.8423863775730133,0.6261638748645783,0.0,1.8307170702351465,0.0,1000.0,0.0,0.0,104.52897855970595,0.0,1530.4460695087682,0.0,0.6551131659140442,0.0,1.9251917820327324,0.0,0.9489708410369025,0.0,104.52894931369357,0.0,25.58601035012139,0.0,0.6551131659140442,0.0,1.9251917820327324,1.8979535766468505,0.9489708410369025,0.6551131659140442,3.7630421752929686,55.09605850231565
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,5.819587861282562,0.8454883782863617,0.6054005310535431,0.0,2.0038631014201953,0.0,1000.0,0.0,0.0,103.17632127844769,0.0,1557.8570084214653,0.0,0.6474098798725243,0.0,2.068717927538607,0.0,0.8986283177914827,0.0,103.17619655443275,0.0,39.6707766159721,0.0,0.6474098798725243,0.0,2.068717927538607,1.9914744274453604,0.8986283177914827,0.6474098798725243,4.746105041503906,71.6614223873874
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,6.401543381005727,0.8481757783889771,0.5877692838907241,0.0,2.451044832666715,0.0,1000.0,0.0,0.0,96.92661412556966,0.0,1552.5700042324509,0.0,0.6078062707920672,0.0,2.2069286113703037,0.0,0.899473729232947,0.0,96.92660522460938,0.0,71.46215025583903,0.0,0.6078062707920672,0.0,2.2069286113703037,2.108711131654221,0.899473729232947,0.6078062707920672,4.65247705078125,74.52336020315765
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,7.23316823555638,0.8511733787059784,0.5706200424432755,0.0,1.7201521830125288,0.0,1000.0,0.0,0.0,90.94565027410334,0.0,1546.4131917985326,0.0,0.5708317839717086,0.0,2.4004002411850616,0.0,0.888235254721208,0.0,90.94568772749467,0.0,27.90417831594294,0.0,0.5708317839717086,0.0,2.4004002411850616,2.2461722215050552,0.888235254721208,0.5708317839717086,4.001610260009766,68.04218043913544
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,8.36170988642564,0.8532681782245636,0.5567781156301499,0.0,2.0359057861825693,0.0,1000.0,0.0,0.0,84.60883231784986,0.0,1534.6472802920098,0.0,0.5306532593633971,0.0,2.618210452880303,0.0,0.87313043034595,0.0,84.60880180027173,0.0,42.414406900820524,0.0,0.5306532593633971,0.0,2.618210452880303,2.4346514287547887,0.87313043034595,0.5306532593633971,3.8920048828125,70.59377489343245
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,9.773742284314286,0.8553509789705277,0.544101026058197,0.0,1.8751971125602722,0.0,1000.0,0.0,0.0,73.03677160089666,0.0,1350.6476563127576,0.0,0.45747879062359476,0.0,2.896089992889186,0.0,0.919367866082625,0.0,73.03667796741833,0.0,39.56604489413175,0.0,0.45747879062359476,0.0,2.896089992889186,2.7107847981136857,0.919367866082625,0.45747879062359476,3.2136138305664064,59.42849687776133
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,12.840908557867829,0.8573505775928497,0.5322707899808884,0.0,1.4975284401859557,0.0,1000.0,0.0,0.0,63.695335388183594,0.0,1255.6528522537214,0.0,0.3991800234046381,0.0,3.3556906978161396,0.0,0.8973263672419957,0.0,63.69523007529123,0.0,25.86094924381801,0.0,0.3991800234046381,0.0,3.3556906978161396,3.2552808419468904,0.8973263672419957,0.3991800234046381,3.5669328842163086,70.3165597262084
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,17.97013602121806,0.8591903777122497,0.5216506302952767,0.0,1.6951021183104742,0.0,1000.0,0.0,0.0,52.904537564232236,0.0,1077.861133711151,0.0,0.3314693647073107,0.0,3.844442605995409,0.0,0.8333981235822042,0.0,52.90457080659412,0.0,23.382620493570965,0.0,0.3314693647073107,0.0,3.844442605995409,3.988576853596568,0.8333981235822042,0.3314693647073107,2.221991973876953,45.27016761586835
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,37.49027903244447,0.8598131772279739,0.5143713346123695,0.0,2.065461258803095,0.0,1000.0,0.0,0.0,32.69962004252842,0.0,648.5728576567878,0.0,0.2052905759891544,0.0,5.261986246276414,0.0,0.8245969393423626,0.0,32.699589661189485,0.0,48.05615084511893,0.0,0.2052905759891544,0.0,5.261986246276414,7.341560948508076,0.8245969393423626,0.2052905759891544,1.8311770210266114,36.32008002878012
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,87.55006631295696,0.861258378624916,0.5059866703152657,0.0,1.713787237093562,0.0,1000.0,0.0,0.0,17.439206077938987,0.0,369.3517470811991,0.0,0.10934807857317921,0.0,8.363015530006983,0.0,0.8835237906092689,0.0,17.43921052841913,0.0,25.31051274708339,0.0,0.10934807857317921,0.0,8.363015530006983,16.29269456220208,0.8835237906092689,0.10934807857317921,0.7324468421936036,15.512773377410362
