algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,10,6.277677853767592,0.6264141506205002,1.3158759911855062,0.0,4.201181716991194,0.0906702820211649,1000.0,0.0,0.0,154.25179221413353,0.0,5.271343460618897,0.0,1647.3561942560636,0.0,0.9673157870462676,0.0,154.25179221413353,0.0,295.0649896101518,169.79483846028646,0.8829575379689535,0.0,5.271343460618897,0.9477058496677262,0.8829575379689535,0.9673157870462676,42.41924285888672,453.0229534204175
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,11,6.289203176645387,0.6268487362811963,1.3077197584013145,0.0,4.758295680795397,0.08557701148092747,1000.0,0.0,0.0,152.35684334891184,0.0,5.384316643738747,0.0,1649.9621312926115,0.0,0.9553317453050667,0.0,152.35684334891184,0.0,473.7672773088728,297.9917958577474,0.8832149377890995,0.0,5.384316643738747,0.8327015583508828,0.8832149377890995,0.9553317453050667,44.437412643432616,481.23895496034504
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,12,6.573937162803479,0.6266578998416662,1.298684661090374,0.0,4.579477825680295,0.08077553001542886,1000.0,0.0,0.0,151.5029016443201,0.0,5.549369289329013,0.0,1696.9920968034048,0.0,0.9498101166991106,0.0,151.5029016443201,0.0,579.4187051927721,165.65848617553712,0.8759310994599316,0.0,5.549369289329013,0.47003768276358976,0.8759310994599316,0.9498101166991106,46.71339467366536,523.2392298477164
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,13,6.73459647803566,0.6249691521128019,1.319958102206389,0.0,5.198254343341379,0.0761919459948937,1000.0,0.0,0.0,151.23285383336685,0.0,5.626278198041512,0.0,1679.4113423804274,0.0,0.9475797403326948,0.0,151.23285383336685,0.0,629.243568869198,196.48714803059895,0.8646581786520341,0.0,5.626278198041512,0.49719885986000695,0.8646581786520341,0.9475797403326948,42.84930858612061,475.8332136744544
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,14,6.9922005629686765,0.6171420674771071,1.373545623322328,0.0,5.463678827156892,0.07210072663923105,1000.0,0.0,0.0,147.78446444949589,0.0,5.749122156530149,0.0,1644.6703401802176,0.0,0.9259058461143234,0.0,147.78446444949589,0.0,789.1594931112753,238.55759557088217,0.8768453203343056,0.0,5.749122156530149,0.3844997638207675,0.8768453203343056,0.9259058461143234,45.56687653859456,507.10668822223386
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,15,7.334512856225866,0.6171470685551564,1.3827586387594542,0.0,5.39200302532741,0.06829492983718713,1000.0,0.0,0.0,148.77130538698228,0.0,5.836790449935577,0.0,1732.1222266154828,0.0,0.9323363992048295,0.0,148.77130538698228,0.0,549.3513682531932,271.88965098063153,0.8548613029813009,0.0,5.836790449935577,0.40606377258781434,0.8548613029813009,0.9323363992048295,39.05246766408285,454.6820844865641
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,16,7.391292440479616,0.6139387329419453,1.4460999138653279,0.0,5.817698813196438,0.06514995750039816,1000.0,0.0,0.0,145.9865444809643,0.0,5.944503879516478,0.0,1633.6225644670199,0.0,0.9153452597074336,0.0,145.9865444809643,0.0,684.2906252732918,380.08660786946615,0.8616626769749086,0.0,5.944503879516478,0.47133976453045473,0.8616626769749086,0.9153452597074336,40.754577000935875,456.0529659137097
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,17,7.908225691668701,0.6072433173656464,1.5407974322636921,0.0,6.0907443864004955,0.062122308959563576,1000.0,0.0,0.0,142.32075892857142,0.0,6.077280917550661,0.0,1601.9386043122686,0.0,0.8921800864419153,0.0,142.32075892857142,0.0,894.8114100864956,402.2150563557943,0.8764781824180058,0.0,6.077280917550661,0.5391924367378436,0.8764781824180058,0.8921800864419153,41.51022135416667,467.2320929244117
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,18,8.013616929174542,0.5932391513139009,1.674312353382508,0.0,6.11157671894346,0.05950606452922026,1000.0,0.0,0.0,142.89676084972564,0.0,6.239120795126083,0.0,1685.3303691674653,0.0,0.8963515224468043,0.0,142.89676084972564,0.0,1074.8553139822823,647.0727416992188,0.8568290670712789,0.0,6.239120795126083,0.6043962286005633,0.8568290670712789,0.8963515224468043,50.01386629740397,589.8656292086129
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,19,8.355569893250172,0.5880979016423226,1.8160841912031174,0.0,6.488785624504089,0.0569393627345562,1000.0,0.0,0.0,140.05259244869916,0.0,6.412722752699969,0.0,1555.5267142876592,0.0,0.8775736304733803,0.0,140.05259244869916,0.0,1093.6043384258564,639.3400217692057,0.8665235692109817,0.0,6.412722752699969,0.6554643171621981,0.8665235692109817,0.8775736304733803,45.51709254582723,505.5461821434892
