algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,0,2.133005995430793,0.09223266466210286,2.384007931550344,0.0,3.7333862590789795,0.0,6.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,1,2.5041003485071056,0.09719966402898232,2.413164255619049,0.0,3.7345318754514056,0.0,6.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,2,2.642360636671814,0.10067966421445211,2.445684189001719,0.0,3.730886539618174,0.0,5.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,3,2.772238069955811,0.10401799734681845,2.474711279074351,0.0,3.7314493028322855,0.0,5.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,4,2.9021155032398083,0.10606299748023351,2.5065964897473654,0.0,3.7332758434613544,0.0,5.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,5,3.0319929365238054,0.10947866388907035,2.5398695262273154,0.0,3.7330830033620197,0.0,5.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,6,3.1618703698078026,0.11284099712967872,2.5696918980280556,0.0,3.7323437968889874,0.0,5.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,7,3.2917478030917997,0.11596066381782294,2.59527294476827,0.0,3.7331103452046714,0.0,5.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,8,3.421625236375797,0.11957666332523029,2.6172715226809182,0.0,3.733330594698588,0.0,5.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,9,3.551502669659794,0.12269266411662101,2.638181051413218,0.0,3.7307986879348753,0.0,5.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,10,3.681380102943791,0.12633166328072548,2.6509707434972127,0.0,3.733647584915161,0.0,5.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,11,3.7919329123526317,0.12962699649234613,2.6598951745033266,0.0,3.7314717531204225,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,12,3.8506055193127127,0.13230766308804354,2.693984446525574,0.0,3.7309487001101176,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,13,3.9092781262727936,0.13691232991715271,2.705413021246592,0.0,3.7331008966763815,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,14,3.9679507332328736,0.1398449962834517,2.726128043333689,0.0,3.7334402108192446,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,15,4.0266233401929545,0.1420563296228647,2.7482923356691997,0.0,3.7322677326202394,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,16,4.085295947153035,0.14566532949606578,2.768773353894552,0.0,3.7341288153330483,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,17,4.1439685541131155,0.14980032960573833,2.790741175810496,0.0,3.733446622689565,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,18,4.202641161073196,0.1535143294930458,2.8031667455037437,0.0,3.731772743066152,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,19,4.261313768033276,0.1552636630833149,2.8209940886497495,0.0,3.7325977635383607,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,20,4.3199863749933565,0.15838899567723275,2.8434148255983986,0.0,3.73249213774999,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,21,4.378658981953437,0.1617679959287246,2.8620738498369853,0.0,3.7326272916793823,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,22,4.437331588913518,0.1640659960359335,2.870490473906199,0.0,3.7334410985310873,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,23,4.496004195873598,0.16600632935762405,2.9003295413653056,0.0,3.732104002634684,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,24,4.554676802833678,0.16808132911721865,2.918441536426544,0.0,3.734021376768748,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,25,4.613349409793759,0.17145899564027786,2.937234372297923,0.0,3.7343485633532207,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,26,4.67202201675384,0.17409599537650744,2.95831459124883,0.0,3.7347962506612142,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,27,4.73069462371392,0.17678599533935388,2.970070258776347,0.0,3.7323877278963726,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,28,4.789367230674,0.1797043286760648,2.9794527252515155,0.0,3.731473902066549,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,29,4.848039837634081,0.18357599566380184,2.98885999917984,0.0,3.734353934129079,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,30,4.906712444594162,0.1859486624598503,2.9961438671747844,0.0,3.7322113211949666,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,31,4.965385051554242,0.18781866195301214,3.0186264300346375,0.0,3.733275491396586,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,32,5.024057658514322,0.18988466213146846,3.032743113040924,0.0,3.732151993115743,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,33,5.082730265474403,0.19316599485774835,3.0373305956522625,0.0,3.731132564544678,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,34,5.141402872434484,0.19470999543865522,3.043049237728119,0.0,3.7328321886062623,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,35,5.200075479394564,0.1974596614887317,3.059206874370575,0.0,3.7316338650385537,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,36,5.258748086354644,0.20001866189142067,3.0753087814648947,0.0,3.7335137859980265,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,37,5.317420693314725,0.20169566159447033,3.0930981175104777,0.0,3.7319807974497476,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,38,5.376093300274806,0.203908661454916,3.1165288575490315,0.0,3.7320077252388,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,39,5.434765907234886,0.20491499488552412,3.135702608426412,0.0,3.73387508948644,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,40,5.493438514194966,0.20630766123533248,3.161988848845164,0.0,3.7327354804674786,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,41,5.552111121155047,0.20894399429361024,3.1708318320910136,0.0,3.7320099782943728,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,42,5.610783728115128,0.21138499451180298,3.1990297857920327,0.0,3.7331167697906493,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,43,5.669456335075208,0.21362799500425655,3.2045232661565146,0.0,3.7331689127286274,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,44,5.728128942035288,0.21575099463264147,3.2035420083999635,0.0,3.7316188033421835,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,45,5.786801548995369,0.2182263276229302,3.220085519949595,0.0,3.73241401274999,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,46,5.84547415595545,0.21940232783555985,3.246686374346415,0.0,3.732929803530375,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,47,5.90414676291553,0.22089166134595872,3.2542063482602437,0.0,3.7316194788614907,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,48,5.96281936987561,0.22270166089137394,3.274950731595357,0.0,3.7336432115236917,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,1.0,0.0234,0.1,iid,1.0,99999,49,6.021491976835691,0.22478166130681831,3.291545116106669,0.0,3.732267236709595,0.0,4.0,1.0,0.0
