algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,10,2.1556541212777574,0.7046520673980315,1.1923398981491724,0.0,4.495747913013805,0.0899709523965915,1000.0,0.0,0.0,0.8919636688449166,0.0,3666.113623087591,0.0,319.1657312566584,0.0,1.30872755545861,0.0,1.9995791613353153,0.0,11.299681251614608,0.06643400688966115,319.1657312566584,0.0,1.9995791613353153,0.0,1.30872755545861,0.9268850531412589,0.8919636688449166,1.9995791613353153,29.25685869852702,336.06041544969577
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,11,2.29521121504056,0.7150524809956551,1.1432674313584963,0.0,5.500336533007414,0.0849016242971023,1000.0,0.0,0.0,0.8695816993713379,0.0,3735.369666244848,0.0,322.0364207392154,0.0,1.3506496630098028,0.0,2.0195706527293846,0.0,39.92111770209411,6.384697160124778,322.0364207392154,0.0,2.0195706527293846,0.0,1.3506496630098028,0.9215414341832006,0.8695816993713379,2.0195706527293846,30.861823654174806,357.9729263484645
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,12,2.29521121504056,0.7253537319600583,1.0936531201004982,0.0,5.213213122409323,0.08011813114086787,1000.0,0.0,0.0,0.8844909434733184,0.0,3971.868911323901,0.0,314.7341985287874,0.0,1.4244377523415221,0.0,1.9730071989224836,0.0,7.883462976016428,1.903611185774207,314.7341985287874,0.0,1.9730071989224836,0.0,1.4244377523415221,0.8982889906905521,0.8844909434733184,1.9730071989224836,30.16202735900879,380.63743733520727
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,13,2.29521121504056,0.7314566470682621,1.0512056608994802,0.0,4.945564593587603,0.0756641066322724,1000.0,0.0,0.0,0.848501800426415,0.0,4182.471952319514,0.0,321.5893859863281,0.0,1.4925083831305652,0.0,2.016292382834408,0.0,52.24837567125048,1.0789926732579866,321.5893859863281,0.0,2.016292382834408,0.0,1.4925083831305652,0.8745105237818857,0.848501800426415,2.016292382834408,37.51876169840495,487.9550611039433
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,14,2.3742331132334535,0.7368574822942416,1.0173039093613625,0.0,5.729415155592418,0.07166827544569969,1000.0,0.0,0.0,0.8654539982477824,0.0,4225.177826310993,0.0,314.03831990559894,0.0,1.5195833859090133,0.0,1.966744671181409,0.0,44.17258435425659,0.05936619987090429,314.03831990559894,0.0,1.966744671181409,0.0,1.5195833859090133,0.8717009333033114,0.8654539982477824,1.966744671181409,27.478352991739907,369.70305980221195
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,15,2.3742331132334535,0.7452508156498273,0.9767156012356282,0.0,5.532791808247566,0.06794289946556091,1000.0,0.0,0.0,0.8262587636709213,0.0,4661.754869104967,0.0,321.53197288513184,0.0,1.5363793319325045,0.0,2.0143399541678306,0.0,9.050050477031618,0.05987016453097264,321.53197288513184,0.0,2.0143399541678306,0.0,1.5363793319325045,0.8719285099874535,0.8262587636709213,2.0143399541678306,21.43546485900879,310.7836579403311
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,16,2.3742331132334535,0.7451558151592811,0.9661614303787549,0.0,6.49896333434365,0.06482126650710901,1000.0,0.0,0.0,0.8728948316790841,0.0,4653.641307014726,0.0,305.6095359108665,0.0,1.5818911360566117,0.0,1.9149631807354957,0.0,7.683802324093201,0.062070818866292635,305.6095359108665,0.0,1.9149631807354957,0.0,1.5818911360566117,0.858034126463691,0.8728948316790841,1.9149631807354957,28.014207458496095,426.58378647635
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,17,2.420533433228411,0.7509387296934923,0.939866071442763,0.0,5.984369940227932,0.06177435653905074,1000.0,0.0,0.0,0.825273593266805,0.0,4663.220685546501,0.0,314.70923699273004,0.0,1.615758676599811,0.0,1.9759047859529792,0.0,12.575021229891313,0.05494347910086314,314.70923699273004,0.0,1.9759047859529792,0.0,1.615758676599811,0.8460387083017586,0.825273593266805,1.9759047859529792,23.60319277445475,349.7415514159876
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,18,2.420533433228411,0.7487866471211115,0.9468790709972381,0.0,6.1231739344420255,0.05912354805817207,1000.0,0.0,0.0,0.80031927757793,0.0,5026.604424346827,0.0,318.53987969292535,0.0,1.6717783009819531,0.0,1.9976973741695718,0.0,59.107585454290664,2.7391838991393644,318.53987969292535,0.0,1.9976973741695718,0.0,1.6717783009819531,0.8217253820971389,0.80031927757793,1.9976973741695718,35.835736465454104,565.492997739018
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,19,2.5380256259488703,0.7533787326266368,0.9406554992000262,0.0,6.585013852399938,0.05663210308800141,1000.0,0.0,0.0,0.7947064568014706,0.0,4760.09235376761,0.0,317.0302949793199,0.0,1.7063685642154502,0.0,1.9869734698665595,0.0,6.983655726756243,0.056346164209147294,317.0302949793199,0.0,1.9869734698665595,0.0,1.7063685642154502,0.8064906209994308,0.7947064568014706,1.9869734698665595,22.456312561035155,337.17320839187244
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,20,2.6005416877579095,0.7455503975351652,0.9566293299198151,0.8598216327463984,6.0811948134348945,0.5427568236986796,1000.0,0.812972972972973,0.9123999029361806,0.8422544243244025,0.0,4884.871485093585,0.0,301.1885552039513,0.0,1.7584141008628764,0.0,1.889501977893937,0.0,69.46225622067085,6.0709147453308105,301.1885552039513,0.0,1.889501977893937,0.0,1.7584141008628764,0.7867036679192035,0.8422544243244025,1.889501977893937,32.628760147094724,529.1944108851384
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,21,2.706128186499245,0.7389116486534476,0.9955379252632459,0.872986224608919,6.283699252388694,0.7991735259691874,1000.0,0.8366524949653166,0.9126189895045155,0.8261533352461728,0.0,5098.678378335244,0.0,302.66632080078125,0.0,1.8237765258639003,0.0,1.896610874475676,0.0,10.968992054462433,6.191525133450826,302.66632080078125,0.0,1.896610874475676,0.0,1.8237765258639003,0.7433015984263956,0.8261533352461728,1.896610874475676,27.744412740071613,467.3788513473973
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,22,2.796452582131851,0.7178512314955393,1.2351070774098238,0.856212818498148,6.713843412399292,0.9999999821186065,1000.0,0.8080508474576271,0.91047982812127,0.8363821816444397,0.0,5238.219856128866,0.0,296.7356036376953,0.0,1.8597618130834241,0.0,1.8612729052938268,0.0,31.393403978347777,4.721844963232676,296.7356036376953,0.0,1.8612729052938268,0.0,1.8597618130834241,0.7330077999813048,0.8363821816444397,1.8612729052938268,30.90995871225993,545.6479016800902
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,23,2.796452582131851,0.7226637314694623,1.2171911629537742,0.8933566433566432,7.567063649495442,0.9999999781449636,1000.0,0.8739311018812607,0.9136653895274585,0.8322437008221945,0.0,4949.320306690901,0.0,295.1005096435547,0.0,1.8917923350502572,0.0,1.8491996701774431,0.0,19.981087057954735,0.5271454284588496,295.1005096435547,0.0,1.8491996701774431,0.0,1.8917923350502572,0.7203704289599362,0.8322437008221945,1.8491996701774431,22.1325382232666,371.19902300181764
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,24,2.9358251666442055,0.7036128976692756,1.64108954941233,0.8438864628820961,7.119493842124939,0.999999996026357,1000.0,0.7870087558542048,0.9096257943045423,0.7707143468516213,0.0,4832.418875970836,0.0,307.2214578901018,0.0,1.939273215893294,0.0,1.9271519858064772,0.0,72.13949519076517,5.343248553574085,307.2214578901018,0.0,1.9271519858064772,0.0,1.939273215893294,0.6983249988141563,0.7707143468516213,1.9271519858064772,35.84250342051188,563.7822021965975
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,25,2.9358251666442055,0.7178270644197862,1.4276254124939443,0.8769686204854944,4.978017392612639,0.9999999880790711,1000.0,0.8440847959881468,0.9125184820108427,0.813069903424808,0.0,5171.618659351998,0.0,293.544180733817,0.0,2.0190699788496818,0.0,1.8421368078054503,0.0,7.765118366550832,0.6051666716734568,293.544180733817,0.0,1.8421368078054503,0.0,2.0190699788496818,0.621025363369373,0.813069903424808,1.8421368078054503,25.685115814208984,452.5166326932998
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,26,2.9358251666442055,0.7210512318027517,1.284927511960268,0.8745052386495926,6.40102171599865,0.9999999860922496,1000.0,0.839142091152815,0.912980068060282,0.7922264344990253,0.0,5098.17799212108,0.0,296.12925186157224,0.0,2.054230926939094,0.0,1.8557250254242852,0.0,7.897367324307561,0.6044485946496327,296.12925186157224,0.0,1.8557250254242852,0.0,2.054230926939094,0.6010939741629672,0.7922264344990253,1.8557250254242852,24.677437655131023,424.8481660100899
