algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,2.4382619976432234,0.825423779129982,0.7469582307338715,0.0,1.0463070965582324,0.0,1000.0,0.0,0.0,0.9512177532903892,0.0,0.9492897891229198,0.0,0.9699277709759817,0.0,0.9699277709759817,0.0,154.64053640057963,0.0,1716.7360023399744,0.0,154.64049406974547,0.0,17.418371446671024,0.0,0.9512177532903892,1.0860076993490764,0.9492897891229198,0.9699277709759817,9.58771063232422,106.4376321450784
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,2.4608881292287155,0.8315395799875259,0.7075595700740814,0.0,1.131521717707316,0.0,1000.0,0.0,0.0,1.0260585165473248,0.0,0.942628397544225,0.0,0.9682995456872482,0.0,0.9682995456872482,0.0,154.40064188639323,0.0,1848.15167331238,0.0,154.4006576538086,0.0,18.872573725382487,0.0,1.0260585165473248,1.1032450423658762,0.942628397544225,0.9682995456872482,9.264039459228515,110.8891003987428
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,2.4861554409085427,0.836616579413414,0.6741513648033142,0.0,1.1367123663425445,0.0,1000.0,0.0,0.0,1.096675519071542,0.0,0.92450124224027,0.0,0.977051920751309,0.0,0.977051920751309,0.0,156.0160380045573,0.0,2022.8890313511445,0.0,156.01598459879557,0.0,22.065848938624065,0.0,1.096675519071542,1.1155126059287517,0.92450124224027,0.977051920751309,9.360959075927735,121.37334188106867
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,2.4871666056025794,0.8414505803585053,0.645440407037735,0.0,1.1220058070288763,0.0,1000.0,0.0,0.0,1.1477221936887245,0.0,0.9029969948309439,0.0,0.988646859605438,0.0,0.988646859605438,0.0,157.74192923086662,0.0,2181.931733987261,0.0,157.74202191388164,0.0,16.50921012737133,0.0,1.1477221936887245,1.1221567223925337,0.9029969948309439,0.988646859605438,8.51806918334961,117.8243136353121
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,2.4871666056025794,0.8456489785909652,0.62031309902668,0.0,1.0986001127296023,0.0,1000.0,0.0,0.0,1.2039666128156516,0.0,0.9537757833798727,0.0,0.9353707529270348,0.0,0.9353707529270348,0.0,149.24505360921225,0.0,2213.528437513045,0.0,149.2449662950304,0.0,9.616326358583239,0.0,1.2039666128156516,1.1268174691668245,0.9537757833798727,0.9353707529270348,5.372818786621094,79.68702375046963
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,2.531706308809902,0.8490123790502548,0.5991005581617356,0.0,1.2197841561358909,0.0,1000.0,0.0,0.0,1.251556751048643,0.0,0.9134894013404846,0.0,0.963648454660918,0.0,0.963648454660918,0.0,153.5696510646654,0.0,2378.0928924954983,0.0,153.56955752165422,0.0,15.836293075395668,0.0,1.251556751048643,1.130094056651954,0.9134894013404846,0.963648454660918,7.064199645996093,109.39227305479292
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,2.531706308809902,0.8520487775802612,0.5806239480972291,0.0,1.4251604527235031,0.0,1000.0,0.0,0.0,1.2835029627707295,0.0,0.9116415331761042,0.0,0.9575958747556883,0.0,0.9575958747556883,0.0,152.7121982574463,0.0,2501.0855352447184,0.0,152.7122008005778,0.0,24.710458755493164,0.0,1.2835029627707295,1.1358630317438032,0.9116415331761042,0.9575958747556883,7.330185638427734,120.05210569174648
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,2.546530765720914,0.8547751770019532,0.5639593087434769,0.0,1.1002810976722024,0.0,1000.0,0.0,0.0,1.3362001719408372,0.0,0.8994023068384691,0.0,0.9606485878101224,0.0,0.9606485878101224,0.0,153.05034706809303,0.0,2644.8788268073326,0.0,153.05038729580966,0.0,12.162770314650102,0.0,1.3362001719408372,1.1358094399797258,0.8994023068384691,0.9606485878101224,6.734217041015625,116.37466837952266
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,2.5826057263989335,0.8570797797441483,0.5495018855333328,0.0,1.244899148526399,0.0,1000.0,0.0,0.0,1.3802144785347759,0.0,0.8821277255597322,0.0,0.9679519063329048,0.0,0.9679519063329048,0.0,154.33187600840694,0.0,2837.7945490759316,0.0,154.33188463293988,0.0,17.217842267907184,0.0,1.3802144785347759,1.1356599515946404,0.8821277255597322,0.9679519063329048,7.099266693115235,130.53854925749286
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,2.649213818065763,0.8591785789728165,0.53672278881073,0.0,1.268112388524142,0.0,1000.0,0.0,0.0,1.4349847074961335,0.0,0.9298117404634302,0.0,0.919279173128653,0.0,0.919279173128653,0.0,146.76513810591265,0.0,2758.9000216251156,0.0,146.7651041204279,0.0,18.131441853263162,0.0,1.4349847074961335,1.1333272422459015,0.9298117404634302,0.919279173128653,6.457664581298828,121.3916009515051
