algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,0,6.340948878747915,0.1088797114789486,2.333245596204485,0.0,2.6391322469711302,2.639652647972107,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,1,7.527218142511456,0.11713056862354279,2.3274946062905446,0.0,2.6386913013458253,2.638801779747009,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,2,8.014028447951489,0.12449856843267168,2.3228447532653806,0.0,2.6391728033338273,2.640117548306783,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,3,8.500838753391522,0.13402771112109935,2.314774361337934,0.0,2.6384229326248168,2.6393553670247396,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,4,8.987649058831554,0.1417865678029401,2.3064305680138726,0.0,2.6392745658329555,2.6398189051946006,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,5,9.474459364271587,0.14773713939956257,2.2993403114591326,0.0,2.6391755158560617,2.6398305034637453,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,6,9.961269669711617,0.1549208530996527,2.2907641676494053,0.0,2.6392711802891324,2.638825551668803,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,7,10.44807997515165,0.16017856795872962,2.2842749997547696,0.0,2.640178836413792,2.6390464226404826,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,8,10.934890280591683,0.16691513849156245,2.2765875823157176,0.0,2.63891279901777,2.6402559010187785,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,9,11.384102372721015,0.1723434242606163,2.268581190109253,0.0,2.639103764806475,2.639900606473287,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,10,11.509849499608084,0.17833799504808018,2.2599549130031042,0.0,2.6386913088389807,2.6380682547887164,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,11,11.63559662649515,0.1846005663701466,2.251749724660601,0.0,2.6390078919274464,2.6398061974843343,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,12,11.761343753382219,0.19085770949721337,2.2427674879346573,0.0,2.6389781073161536,2.6396794080734254,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,13,11.887090880269287,0.19609085208603313,2.233053975105286,0.0,2.639017024721418,2.639556190172831,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,14,12.012838007156354,0.2005734235048294,2.2250804015568324,0.0,2.639011710030692,2.6394304990768434,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,15,12.138585134043423,0.20634427981717246,2.2167322322300502,0.0,2.6396529592786515,2.6388555002212524,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,16,12.26433226093049,0.21275085136294364,2.207595889227731,0.0,2.6391652849742346,2.637779712677002,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,17,12.390079387817558,0.21890485201563153,2.197923171520233,0.0,2.6388601977484565,2.640912014643351,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,18,12.515826514704624,0.22450028042708126,2.1889187032835826,0.0,2.6395211185727803,2.6388800573349,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,19,12.641573641591693,0.22820170845304216,2.180838602270399,0.0,2.639619507108416,2.6387156756718952,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,20,12.76732076847876,0.23334399385111673,2.171368956225259,0.0,2.639742947987148,2.639779855410258,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,150,0.5,0.0234,0.05,iid,0.5,50,21,12.893067895365828,0.239469136936324,2.160622228213719,0.0,2.639377029963902,2.639040869077047,2.0,1.0,0.0
