algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,D_threshold_honest,D_threshold_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,21,1.1468248358859332,0.9105756431818008,0.3043133854866028,0.0,0.10668847497020449,0.0,1000.0,0.0,0.0,0.4702295484376847,0.0,7.496734704290118,0.0,1.1468248358859334,0.0,3.979293452841895,0.0,2.5,0.0,1.1468248358859334,2.220446049250313e-16,0.205,0.9249757712683082,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,22,1.1885165606880306,0.9109336431821188,0.3031723663210869,0.0,0.10918617055371956,0.0,1000.0,0.0,0.0,0.4758219775213504,0.0,9.362535194114402,0.0,1.1885165606880308,0.0,4.855868639769377,0.0,3.4074074074074074,0.0,1.1885165606880308,2.220446049250313e-16,0.21000000000000002,0.9221723169915259,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,23,1.2314642024295632,0.9112503107388814,0.30190276955564815,0.0,0.10768622581077658,0.0,1000.0,0.0,0.0,0.5861861679471203,0.0,10.972539611484693,0.0,1.2314642024295634,0.0,5.6169027971184775,0.0,3.3043478260869565,0.0,1.2314642024295634,2.220446049250313e-16,0.21500000000000005,0.920218658309043,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,24,1.275684473516315,0.91160931011041,0.30173916935920714,0.0,0.10949617903679609,0.0,1000.0,0.0,0.0,0.492824622986799,0.0,7.902782008051872,0.0,1.275684473516315,0.0,4.254479479044676,0.0,5.375,0.0,1.275684473516315,0.0,0.22000000000000003,0.9163704387844072,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,25,1.3122011428331128,0.9129383093118668,0.29639652381340664,0.0,0.09226745242873828,0.0,1000.0,0.0,0.0,0.36494987731336864,0.0,6.118310232957204,0.0,1.3122011428331126,0.0,3.113888382911682,0.0,1.8333333333333333,0.0,1.3122011428331126,2.220446049250313e-16,0.225,0.9140266050759653,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,26,1.345316141965366,0.9134699769814809,0.29448560684919356,0.0,0.095247100179012,0.0,1000.0,0.0,0.0,0.42079170920554937,0.0,7.998320891306951,0.0,1.345316141965366,0.0,3.9363822845312266,0.0,3.3076923076923075,0.0,1.345316141965366,0.0,0.22999999999999998,0.9113713865367931,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,27,1.3793057391731356,0.9133836428324381,0.2944748795529207,0.0,0.09614435606636107,0.0,1000.0,0.0,0.0,0.4728650509385586,0.0,7.723079204559326,0.0,1.3793057391731358,0.0,4.349252451211214,0.0,4.5625,0.0,1.3793057391731358,2.220446049250313e-16,0.23500000000000001,0.9073608318847451,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,28,1.4141783702140174,0.914209645986557,0.29221410349011423,0.0,0.09640313684940338,0.0,1000.0,0.0,0.0,0.3713501446939787,0.0,5.617329669721199,0.0,1.4141783702140174,0.0,3.395691900542288,0.0,4.96969696969697,0.0,1.4141783702140174,0.0,0.24000000000000005,0.9031701165732976,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,29,1.449942626250209,0.9142306447029114,0.29208939507603643,0.0,0.09215100784786046,0.0,1000.0,0.0,0.0,0.44151042981187855,0.0,7.571386441588402,0.0,1.449942626250209,0.0,4.225505728274584,0.0,3.9375,0.0,1.449942626250209,0.0,0.24500000000000002,0.8991874384348648,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,30,1.4866072583448862,0.9146059775352477,0.2905772367616494,0.0,0.08512254482185519,0.0,1000.0,0.0,0.0,0.39884433341128045,0.0,5.549129537633948,0.0,1.4866072583448864,0.0,3.5618589858751037,0.0,5.027027027027027,0.0,1.4866072583448864,2.220446049250313e-16,0.25,0.8939549440957532,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,31,1.524181182138728,0.9145386445522309,0.2917323989669482,0.0,0.09228279352188111,0.0,1000.0,0.0,0.0,0.5164875889125459,0.0,10.836645717620849,0.0,1.5241811821387279,0.0,5.737386779785156,0.0,4.0,0.0,1.5241811821387279,2.220446049250313e-16,0.255,0.8916144059895721,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,32,1.562673482715863,0.9151589769124985,0.28969913120071095,0.0,0.08602852270834976,0.0,1000.0,0.0,0.0,0.3483498812092174,0.0,4.951894336276585,0.0,1.562673482715863,0.0,3.3086613482899137,0.0,4.333333333333333,0.0,1.562673482715863,0.0,0.26,0.8864029874465561,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,33,1.6020934196690475,0.9158853099743525,0.2876879622042179,0.0,0.09693192260769698,0.0,1000.0,0.0,0.0,0.2869011881390982,0.0,4.865328339430002,0.0,1.6020934196690477,0.0,2.9881689961139974,0.0,3.076923076923077,0.0,1.6020934196690477,2.220446049250313e-16,0.26500000000000007,0.8840865718998343,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,34,1.6424504323745497,0.9156626437107722,0.2888917743662993,0.0,0.09479438694747719,0.0,1000.0,0.0,0.0,0.4215807686041225,0.0,6.825762065681252,0.0,1.642450432374549,0.0,4.0247422166772795,0.0,7.351351351351352,0.0,1.642450432374549,6.661338147750939e-16,0.27,0.8788912978125123,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,35,1.6837541454878444,0.9160966436068217,0.28820298264424005,0.0,0.09536089552076239,0.0,1000.0,0.0,0.0,0.40427740565408044,0.0,10.073534137324282,0.0,1.6837541454878446,0.0,5.154442736977025,0.0,3.789473684210526,0.0,1.6837541454878446,2.220446049250313e-16,0.275,0.8774909007658229,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,36,1.725145973725557,0.9171439762910207,0.28407831047972043,0.0,0.07780105974525213,0.0,1000.0,0.0,0.0,0.28110150258862565,0.0,5.213375878334046,0.0,1.7251459737255566,0.0,2.885337394475937,0.0,2.3,0.0,1.7251459737255566,4.440892098500626e-16,0.27999999999999997,0.8759465161607026,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,37,1.75987767048715,0.9175716439882914,0.28265546773870787,0.0,0.08438207352390656,0.0,1000.0,0.0,0.0,0.28967824126939734,0.0,4.596145354784452,0.0,1.75987767048715,0.0,2.7620617701457095,0.0,5.0,0.0,1.75987767048715,0.0,0.28500000000000003,0.8730915896684819,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,38,1.7953611510557859,0.917291643222173,0.2851865421732267,0.0,0.08795120982187135,0.0,1000.0,0.0,0.0,0.39612433639321615,0.0,6.962776163646153,0.0,1.7953611510557856,0.0,4.21448005267552,0.0,7.257142857142857,0.0,1.7953611510557856,2.220446049250313e-16,0.29000000000000004,0.8685437510541651,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,39,1.831602796710114,0.9174936433633168,0.2846963789065679,0.0,0.08596067719401852,0.0,1000.0,0.0,0.0,0.3351945855536868,0.0,5.4079646833481325,0.0,1.8316027967101145,0.0,3.3694178135164323,0.0,5.419354838709677,0.0,1.8316027967101145,4.440892098500626e-16,0.29500000000000004,0.8647635416398708,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,40,1.868609090288836,0.9180536437034607,0.28288169130682944,0.0,0.08609178500870864,0.0,1000.0,0.0,0.0,0.2652580402097883,0.0,4.250689061482747,0.0,1.8686090902888357,0.0,3.018189231554667,0.0,6.133333333333334,0.0,1.8686090902888357,2.220446049250313e-16,0.30000000000000004,0.8614165429707046,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,41,1.9063866187058367,0.9181553111473719,0.2835496697326501,0.0,0.09081938556011986,0.0,1000.0,0.0,0.0,0.31218080946927446,0.0,5.481711233363432,0.0,1.9063866187058363,0.0,3.2852821525405433,0.0,8.0,0.0,1.9063866187058363,4.440892098500626e-16,0.30500000000000005,0.8573351081614792,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,42,1.944942075550581,0.9183359767993291,0.2825973657766978,0.0,0.08330993975202243,0.0,1000.0,0.0,0.0,0.29791338112357696,0.0,4.643326925508903,0.0,1.9449420755505817,0.0,2.8867466991597954,0.0,7.636363636363637,0.0,1.9449420755505817,6.661338147750939e-16,0.31000000000000005,0.85324985080748,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,43,1.9842822637774247,0.9185523108641307,0.2820026838282744,0.0,0.08451680966785975,0.0,1000.0,0.0,0.0,0.27900733284931806,0.0,4.449957813535418,0.0,1.9842822637774247,0.0,2.938276527609144,0.0,6.171428571428572,0.0,1.9842822637774247,0.0,0.315,0.8486991616423167,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,44,2.0244140984876924,0.9187113116184871,0.28138124495744704,0.0,0.08498356118798256,0.0,1000.0,0.0,0.0,0.27852442593273835,0.0,5.481472895695613,0.0,2.0244140984876924,0.0,3.209010532269111,0.0,6.769230769230769,0.0,2.0244140984876924,0.0,0.32000000000000006,0.8464813170746774,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,45,2.06534460980856,0.918967644572258,0.2811510509749254,0.0,0.08044406465995006,0.0,1000.0,0.0,0.0,0.26603444367590995,0.0,3.6948297451703978,0.0,2.06534460980856,0.0,2.757175910167205,0.0,7.487179487179487,0.0,2.06534460980856,0.0,0.325,0.8408084559362252,0.0
