algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,0,1.3111333865885753,0.09978739745914936,825.2609993896484,0.0,351.0225070800781,0.0,8.0,0.0,0.0,1526438.7109375,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,1,1.408157605331617,0.10510059726983309,1509.1911160888671,0.0,350.87265905761717,0.0,8.0,0.0,0.0,1893151.265625,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,2,1.5051818240746586,0.10987319751828908,2124.872786376953,0.0,350.89860516357425,0.0,8.0,0.0,0.0,2211978.3055555555,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,3,1.6022060428177003,0.11235879722237586,2709.8537287597655,0.0,350.8642211914063,0.0,8.0,0.0,0.0,2445651.125,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,4,1.699230261560742,0.1154189970716834,3317.6286879882814,0.0,351.0385443725586,0.0,8.0,0.0,0.0,2048905.3822115385,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,5,1.7962544803037837,0.11712799710407854,3820.226275878906,0.0,350.8992896118164,0.0,8.0,0.0,0.0,1932353.809375,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,6,1.8765759126803803,0.1194333968795836,4341.8180971679685,0.0,350.9504520263672,0.0,6.0,0.0,0.0,1775660.7897727273,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,7,1.8929565227269374,0.12084819716215134,4830.655117675781,0.0,350.809123840332,0.0,6.0,0.0,0.0,2446903.827586207,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,8,1.909337132773495,0.12211019701510668,5287.857244628906,0.0,350.99447845458985,0.0,6.0,0.0,0.0,2527818.3922413792,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,9,1.925717742820052,0.12492899692058564,5775.260122558594,0.0,350.9512811279297,0.0,6.0,0.0,0.0,2054167.662037037,0.0
