algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,0,7.7545033062044135,0.3631599898139636,1.9545520305633546,0.0,0.9572200685739517,0.0,1000.0,0.0,0.0,1.0,0.0,18.69263209104538,0.0,95.7212760925293,0.0,0.5169668870802943,0.0,95.7212760925293,0.0,283.2913033632042,0.0,0.6002290721471659,0.0,0.6002290721471659,0.0,0.5169668870802943,1.9343129717615128,1.0,0.6002290721471659,6.38141840616862,18.88608689088028
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,1,9.71163716463091,0.5769229849179586,1.5561039984226226,0.0,1.0679996933255878,0.0,1000.0,0.0,0.0,0.9792332070214408,0.0,34.82754546574184,0.0,95.75811266217913,0.0,1.3057115505152508,0.0,95.75811266217913,0.0,272.93119383694807,0.0,0.600229072147166,0.0,0.600229072147166,0.0,1.3057115505152508,2.966547043379543,0.9792332070214408,0.600229072147166,11.171779810587566,31.841972614310603
