algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,11,3.738941327917318,0.5334091522420447,3.3482799808184307,0.0,22.36900176172671,0.08475783914327621,1000.0,0.0,0.0,0.5790967202704885,0.0,194.63830765433934,0.0,212.01114629808328,55.04657902307808,1583.340581873693,0.0,2.2470714205222793,0.0,194.63830765433934,0.0,1.220559255536635,0.0,2.2470714205222793,1.5339060992524207,0.5790967202704885,1.220559255536635,18.652837816874186,151.73680576289559
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,12,3.926452835196584,0.5362287369246285,3.5688925996422767,0.0,24.29215331699537,0.08011401655773322,1000.0,0.0,0.0,0.7000448600105618,0.0,176.14565442956012,0.0,98.30827011346169,16.50121841492752,1592.5549589192615,0.0,2.3809773448455775,0.0,176.14565442956012,0.0,1.1040056845086053,0.0,2.3809773448455775,1.5057061948246593,0.7000448600105618,1.1040056845086053,16.880625216166177,152.61985022976253
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,13,4.178387480921129,0.5364179041236639,3.7653525377313297,0.0,21.682699991124018,0.0756868313997984,1000.0,0.0,0.0,0.6147864567381995,0.0,185.50675092424666,0.0,375.116228130513,0.2082019252081712,1800.0826835851417,0.0,2.507842064627522,0.0,185.50675092424666,0.0,1.1627111818312599,0.0,2.507842064627522,1.480158393609453,0.6147864567381995,1.1627111818312599,21.642454274495442,210.00964641826647
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,14,4.502043616393158,0.5513279022028049,3.8935420694450538,0.0,22.983991168794176,0.07171006947755813,1000.0,0.0,0.0,0.563160464877174,0.0,190.37325468517486,0.0,173.04902521778075,0.059916454429427786,1712.8246123730194,0.0,2.5557236060480983,0.0,190.37325468517486,0.0,1.1921963498190864,0.0,2.5557236060480983,1.4808683562465874,0.563160464877174,1.1921963498190864,16.6576597849528,149.87215358263919
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,15,4.849671388335264,0.5660574860249956,3.8172233519454797,0.0,20.368681341409683,0.06795721699794134,1000.0,0.0,0.0,0.4887019474990666,0.0,197.90531158447266,0.0,31.876785076456144,0.06126148986319701,1966.7113757372686,0.0,2.580817470641639,0.0,197.90531158447266,0.0,1.2396695452957935,0.0,2.580817470641639,1.4819874606376153,0.4887019474990666,1.2396695452957935,13.193687438964844,131.1140917158179
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,16,4.855344897928851,0.5636599866983791,4.602287223935127,0.0,30.915797667069867,0.06478162383039793,1000.0,0.0,0.0,0.7364210391586478,0.0,163.53877743807706,0.0,85.09525950507008,0.06313873852292697,1430.2605912103313,0.0,2.6748819221852957,0.0,163.53877743807706,0.0,1.0247590918535479,0.0,2.6748819221852957,1.4798415020718654,0.7364210391586478,1.0247590918535479,14.991054598490397,131.10722086094702
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,17,4.862362789397603,0.5715574859951933,4.482067096233368,0.0,24.846752219729954,0.06181946819027265,1000.0,0.0,0.0,0.618420335981581,0.0,176.3482585483127,0.0,134.8585374901692,0.05636961335937182,1810.6806410672189,0.0,2.7390785511495412,0.0,176.3482585483127,0.0,1.1070887092167212,0.0,2.7390785511495412,1.4709715113617265,0.618420335981581,1.1070887092167212,13.226119391123454,135.80104808004143
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,18,4.870442190239173,0.5652412345943352,5.321432330707709,0.0,29.06544683597706,0.059226493599514166,1000.0,0.0,0.0,0.694481940181167,0.0,164.87905799018012,0.0,882.502591934607,14.052200874872506,1911.2731848286614,0.0,2.8567527430486783,0.0,164.87905799018012,0.0,1.033950290941244,0.0,2.8567527430486783,1.454598483333509,0.694481940181167,1.033950290941244,18.548894023895265,215.01823329322443
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,19,4.916709550413342,0.5745437367508809,5.563825718065103,0.0,29.767502896925983,0.05673173299680154,1000.0,0.0,0.0,0.6980288484517265,0.0,162.55695881563074,0.0,130.38653217705294,0.058593074791133404,1586.0336514071423,0.0,2.9314133039255745,0.0,162.55695881563074,0.0,1.0188669050676675,0.0,2.9314133039255745,1.4452198634727167,0.6980288484517265,1.0188669050676675,11.51445124944051,112.34405030800593
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,20,4.931094417165986,0.5667691521967451,6.04896769747138,0.8597233337144164,27.54461847818815,0.5439737190802892,1000.0,0.8127972330306961,0.9123999029361806,0.6796441880556253,0.0,162.75319524911734,0.0,774.81947855766,6.21643652121226,1643.351028418134,0.0,3.037297010625744,0.0,162.75319524911734,0.0,1.020890202731972,0.0,3.037297010625744,1.4314527445444511,0.6796441880556253,1.020890202731972,17.63159615198771,178.0296947452979
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,21,4.9560939087459674,0.5637120706960559,6.5571404429773485,0.872986224608919,31.22752536426891,0.7939106424649557,1000.0,0.8366524949653166,0.9126189895045155,0.789438937198032,0.0,147.57341488924894,0.0,298.4198495962403,6.3051371018091835,1649.6193464342768,0.0,3.177566384309949,0.0,147.57341488924894,0.0,0.9248012835093977,0.0,3.177566384309949,1.3842734090292874,0.789438937198032,0.9248012835093977,13.527563031514486,151.21510675647536
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,22,5.019331598055603,0.5596687368427714,7.356070598214865,0.8563089357880557,30.048849239349366,0.9999999811251958,1000.0,0.8082220809493537,0.91047982812127,0.6793839114904404,0.0,158.81227600097657,0.0,317.62761275291444,11.835564438501994,1973.5365057604433,0.0,3.2466482159877628,0.0,158.81227600097657,0.0,0.9963603395023415,0.0,3.2466482159877628,1.3756324215435336,0.6793839114904404,0.9963603395023415,16.542945416768394,205.5767193500462
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,23,5.024539254548426,0.568742900279661,7.675870137661695,0.8932184338703635,34.356326474083794,0.9999999781449636,1000.0,0.873900293255132,0.9134099616858238,0.7484028339385986,0.0,148.88845613267688,0.0,408.01601668033334,0.491399277249972,1499.4019667064433,0.0,3.3182072190415757,0.0,148.88845613267688,0.0,0.9328886376162726,0.0,3.3182072190415757,1.367387878174772,0.7484028339385986,0.9328886376162726,11.166634209950765,112.45514750298325
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,24,5.14219850956552,0.5594545676372945,8.995883937428395,0.8437602358336063,34.32943342413221,0.9999999811251958,1000.0,0.7869653767820773,0.9093904448105437,0.7511072071003062,0.0,146.5842023577009,0.0,2165.590777509979,241.0857898771763,1405.0049612721411,0.0,3.4208530741564704,0.0,146.5842023577009,0.0,0.9193528768424165,0.0,3.4208530741564704,1.3411241907108469,0.7511072071003062,0.9193528768424165,17.101490275065103,163.91724548174983
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,25,5.14219850956552,0.5565366530170043,8.52408553759257,0.8768647880653564,25.151081380389986,0.9999999860922496,1000.0,0.8438924339106655,0.9125184820108427,0.7363643788156056,0.0,146.3955336071196,0.0,130.63780751682464,0.9449837038914363,1884.8960565388063,0.0,3.582956214649076,0.0,146.3955336071196,0.0,0.918621177768672,0.0,3.582956214649076,1.2361471835415268,0.7363643788156056,0.918621177768672,12.809609190622966,164.92840494714557
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,26,5.14219850956552,0.5620166533316175,8.506466730684043,0.8743016759776535,30.898429489135744,0.9999999900658926,1000.0,0.8387673068334077,0.912980068060282,0.725089019536972,0.0,146.04330749511718,0.0,235.57175676077605,0.7480479995409648,1580.0171822253353,0.0,3.6628984836437155,0.0,146.04330749511718,0.0,0.9152661874830388,0.0,3.6628984836437155,1.2144231805210435,0.725089019536972,0.9152661874830388,12.1702756245931,131.66809851877795
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,27,5.14219850956552,0.5634720692721505,8.62649704143405,0.8878563355519277,28.117297565937044,0.9999999751647314,1000.0,0.8683370179317121,0.908273381294964,0.6323258494958282,0.0,154.74991683959962,0.0,283.20532040446994,1.2982466379801432,2013.357558291798,0.0,3.729120448602932,0.0,154.74991683959962,0.0,0.9695991027863691,0.0,3.729120448602932,1.1812284372530493,0.6323258494958282,0.9695991027863691,12.895826403299967,167.7797965243165
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,28,5.1523920193517005,0.559211652756979,9.124784071495135,0.8607798165137616,26.20639679982112,0.9999999821186065,1000.0,0.8153378231588094,0.9115861063881467,0.599734423825374,0.0,156.54996666541467,0.0,545.4782320902898,20.27257394194603,1546.536999414326,0.0,3.7764375837617035,0.0,156.54996666541467,0.0,0.9805754935313822,0.0,3.7764375837617035,1.1708549285995993,0.599734423825374,0.9805754935313822,16.959579722086588,167.54150826988536
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,29,5.227341730737129,0.5613824856777986,9.572631745785475,0.8671213546566322,31.590833107630413,0.9999999860922496,1000.0,0.8279811363125983,0.9101456430510985,0.6935334031780561,0.0,144.5495637257894,0.0,1199.7477019826572,0.8727739880482356,1483.1597351858356,0.0,3.864178033076746,0.0,144.5495637257894,0.0,0.9037534112587774,0.0,3.864178033076746,1.1426783485804055,0.6935334031780561,0.9037534112587774,14.45495637257894,148.31597351858358
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,30,5.227341730737129,0.5562037346263726,10.005117989331485,0.8427937915742794,29.031577800882275,0.9999999811251958,1000.0,0.7871194864361152,0.9069434502505369,0.6242429377703831,0.0,149.8137409604829,0.0,1572.4888564142689,38.977359398206076,1635.754516988978,0.0,3.9016377861022065,0.0,149.8137409604829,0.0,0.9397202868886283,0.0,3.9016377861022065,1.14877424965919,0.6242429377703831,0.9397202868886283,18.102493699391683,197.65367080283485
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,31,5.227341730737129,0.5637154015091558,10.219470724463463,0.8826176864128451,29.67404326200485,0.9999999741713206,1000.0,0.8572778827977315,0.9095011281022812,0.589394062012434,0.0,151.5447841644287,0.0,61.90702411904931,0.9257154126962026,1730.4319891363125,0.0,3.943041509135183,0.0,151.5447841644287,0.0,0.9515936373435341,0.0,3.943041509135183,1.1633145885364629,0.589394062012434,0.9515936373435341,12.628732013702393,144.20266576135933
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,32,5.596423212922939,0.5504712357806663,11.554877528796593,0.8360850329124853,34.61235454164702,0.9999999811251958,1000.0,0.7765083183002606,0.9055633473585788,0.7997656444023395,0.0,127.5833424535291,0.0,2258.915758383685,350.32573566834134,1616.0219549016892,0.0,4.097725527556325,0.0,127.5833424535291,0.0,0.7996957671268036,0.0,4.097725527556325,1.0733987358611305,0.7997656444023395,0.7996957671268036,15.416320546468098,195.26931955062082
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,33,5.805080205448143,0.5645704008638859,11.012548819432656,0.8945798110392839,30.822612126668293,0.9999999831120173,1000.0,0.8752128435903673,0.9148232901093313,0.6648484915494919,0.0,139.7797393798828,0.0,224.87790953016116,1.0469895521799724,1357.3128250887255,0.0,4.1588261001367774,0.0,139.7797393798828,0.0,0.8777353354436499,0.0,4.1588261001367774,1.0497370268847142,0.6648484915494919,0.8777353354436499,10.483480453491211,101.79846188165442
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,34,5.805080205448143,0.5570499856335421,12.184833691517513,0.8372821208642105,31.154555422919138,0.9999999900658926,1000.0,0.774174869716271,0.9115909090909091,0.6592276782861778,0.0,138.78498431614466,0.0,441.58377374921525,413.2553553263346,1745.5367559763229,0.0,4.207694943290862,0.0,138.78498431614466,0.0,0.8701826973691419,0.0,4.207694943290862,1.0576984869618955,0.6592276782861778,0.8701826973691419,16.19158150355021,203.64595486390434
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,35,5.805080205448143,0.5684662370632092,12.199574124564727,0.895242914979757,35.023545556598236,0.999999980131785,1000.0,0.8798806267097737,0.9111511717744012,0.6853968699773153,0.0,134.17345809936523,0.0,564.2167468062705,1.141992630561193,1502.7732608633992,0.0,4.23946257609051,0.0,134.17345809936523,0.0,0.8422621938780026,0.0,4.23946257609051,1.06346943928852,0.6853968699773153,0.8422621938780026,10.063009357452392,112.70799456475494
