algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,0.9284993968069813,0.8096193804740905,0.7725370733737945,0.0,3.8277300327054915,0.0,1000.0,0.0,0.0,313.9941947690902,0.0,242.16576188610446,0.0,1.9695542283609049,0.0,3316.388458651946,0.0,0.3555058554991265,0.0,1.9695542283609049,0.0,313.9941947690902,0.0,0.9116529726213024,0.0,0.3555058554991265,0.40582049242973744,0.9116529726213024,1.9695542283609049,19.467640075683594,205.61608443642066
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,0.945020464855422,0.8144905791282654,0.7382376679182052,0.0,4.067473451296489,0.0,1000.0,0.0,0.0,316.9709187825521,0.0,255.44939727783202,0.0,1.9878996256153625,0.0,3492.9417129675962,0.0,0.3842294658460365,0.0,1.9878996256153625,0.0,316.9709187825521,0.0,0.8904756208260854,0.0,0.3842294658460365,0.41332384772842024,0.8904756208260854,1.9878996256153625,19.018255126953125,209.57650277805578
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,0.9600091929000929,0.8189993799924851,0.7085942643880844,0.0,4.172350470225016,0.0,1000.0,0.0,0.0,315.1481129964193,0.0,305.76267267862954,0.0,1.9737151732583433,0.0,3872.527138675391,0.0,0.4113561675300924,0.0,1.9737151732583433,0.0,315.1481129964193,0.0,0.8873211781183878,0.0,0.4113561675300924,0.41880204189935016,0.8873211781183878,1.9737151732583433,18.908886779785156,232.35162832052345
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,0.9600091929000929,0.8244251806139946,0.6813393990993499,0.0,4.17251498610885,0.0,1000.0,0.0,0.0,316.9814125343605,0.0,237.58071051703558,0.0,1.9866800582145179,0.0,4154.312723978288,0.0,0.4308730041639195,0.0,1.9866800582145179,0.0,316.9814125343605,0.0,0.8687561805601474,0.0,0.4308730041639195,0.42176464639740147,0.8687561805601474,1.9866800582145179,17.11699627685547,224.33288709482756
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,0.9600091929000929,0.8293875792622566,0.6547070941925048,0.0,4.136701160007053,0.0,1000.0,0.0,0.0,296.4420216878255,0.0,138.07095336914062,0.0,1.8578572377744176,0.0,4184.344248013611,0.0,0.4521167870231252,0.0,1.8578572377744176,0.0,296.4420216878255,0.0,0.9314777486854129,0.0,0.4521167870231252,0.42373209346201973,0.9314777486854129,1.8578572377744176,10.67191278076172,150.63639292848998
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,0.9666026011379187,0.8315795786976814,0.6364553329944611,0.0,4.384485711222109,0.0,1000.0,0.0,0.0,311.8879593558933,0.0,203.71994615637738,0.0,1.9568992160056795,0.0,4417.640664547751,0.0,0.46990220073462924,0.0,1.9568992160056795,0.0,311.8879593558933,0.0,0.8632037406382354,0.0,0.46990220073462924,0.4249690891709029,0.8632037406382354,1.9568992160056795,14.346846130371095,203.2114705691965
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,0.9666026011379187,0.8328253780603408,0.6231226674318313,0.0,5.162618319193522,0.0,1000.0,0.0,0.0,312.9868990580241,0.0,329.6694844563802,0.0,1.9628134304573477,0.0,4574.825155214428,0.0,0.4805275254702737,0.0,1.9628134304573477,0.0,312.9868990580241,0.0,0.8483085508147875,0.0,0.4805275254702737,0.4259859368288629,0.8483085508147875,1.9628134304573477,15.023371154785156,219.59160745029257
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,0.9737824129149166,0.8364449782371521,0.6032786363363266,0.0,3.9020578969608652,0.0,1000.0,0.0,0.0,309.39951393821025,0.0,159.99110794067383,0.0,1.9419707028920745,0.0,5022.028014137981,0.0,0.50045220658959,0.0,1.9419707028920745,0.0,309.39951393821025,0.0,0.8490863523700021,0.0,0.50045220658959,0.4262101542353011,0.8490863523700021,1.9419707028920745,13.61357861328125,220.96923262207113
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,0.986096192067224,0.837519978761673,0.5938240716457367,0.0,4.543911726578422,0.0,1000.0,0.0,0.0,309.55194887907606,0.0,238.2788968293563,0.0,1.9414237054005619,0.0,5322.845127078585,0.0,0.5167797382875201,0.0,1.9414237054005619,0.0,309.55194887907606,0.0,0.8378469153590824,0.0,0.5167797382875201,0.4260776156799371,0.8378469153590824,1.9414237054005619,14.2393896484375,244.8508758456149
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,1.0019050725828582,0.8393291786909104,0.5825384397506714,0.0,4.393520279364153,0.0,1000.0,0.0,0.0,300.55474576083094,0.0,215.49761269309303,0.0,1.8825997733383006,0.0,4933.279534425081,0.0,0.5373403252323,0.0,1.8825997733383006,0.0,300.55474576083094,0.0,0.8617334907705133,0.0,0.5373403252323,0.4252883488916131,0.8617334907705133,1.8825997733383006,13.224408813476563,217.06429951470352
