algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,43,3.27388607784329,0.8440843783020974,0.540041566669941,0.0,5.160610548381148,0.0,1000.0,0.0,0.0,2.23434733469953,0.0,6436.710281490331,0.0,262.73990341712687,0.0,1.6462809983668962,0.0,1.6462809983668962,0.0,336.7902989880792,0.0,262.73990341712687,0.0,0.7346210746929563,0.0,2.23434733469953,0.8557189234221175,0.7346210746929563,1.6462809983668962,15.238914398193359,373.3291963264393
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,44,3.275544662865995,0.842092178106308,0.5528708003759384,0.0,5.380361835161845,0.0,1000.0,0.0,0.0,2.2854666149144744,0.0,6975.477145709455,0.0,253.4748456550367,0.0,1.5887079219708218,0.0,1.5887079219708218,0.0,479.73607149991125,0.0,253.4748456550367,0.0,0.7666008707248804,0.0,2.2854666149144744,0.8326677041233761,0.7666008707248804,1.5887079219708218,16.72933981323242,460.38149161682406
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,45,3.310649579106484,0.8407855780720711,0.5545768621563911,0.0,5.9392589904643875,0.0,1000.0,0.0,0.0,2.2978115768552727,0.0,6670.100217454353,0.0,268.2759139449508,0.0,1.6816339190841016,0.0,1.6816339190841016,0.0,441.9229080765336,0.0,268.2759139449508,0.0,0.6813365165834073,0.0,2.2978115768552727,0.8378444469326809,0.6813365165834073,1.6816339190841016,14.486899353027344,360.185411742535
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,46,3.316645664271769,0.8417945790886879,0.5505451852083206,0.0,6.236416578292847,0.0,1000.0,0.0,0.0,2.3150535063412288,0.0,7137.5556531944785,0.0,252.5751374897204,0.0,1.584669392266593,0.0,1.584669392266593,0.0,277.35919591000203,0.0,252.5751374897204,0.0,0.7448832204467372,0.0,2.3150535063412288,0.8363003206346574,0.7448832204467372,1.584669392266593,9.597855224609376,271.2271148213903
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,47,3.327495097339286,0.8391029794216156,0.5711281548142433,0.0,5.9834668564073965,0.0,1000.0,0.0,0.0,2.356701714907139,0.0,6363.071068354784,0.0,255.95257660836884,0.0,1.604520892326153,0.0,1.604520892326153,0.0,479.0627080743963,0.0,255.95257660836884,0.0,0.7163879446911089,0.0,2.356701714907139,0.8212032627206479,0.7163879446911089,1.604520892326153,16.892870056152343,419.9626905114158
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,48,3.327495097339286,0.8403761783838272,0.5639896976351738,0.0,5.889707255363464,0.0,1000.0,0.0,0.0,2.3664816932444084,0.0,7239.418418186872,0.0,266.862540435791,0.0,1.6728537670153387,0.0,1.6728537670153387,0.0,274.5292434692383,0.0,266.862540435791,0.0,0.6482719242572784,0.0,2.3664816932444084,0.824919733027603,0.6482719242572784,1.6728537670153387,10.674501617431641,289.5767367274749
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,49,3.370211078856217,0.8389773794412613,0.5777330795526504,0.0,6.563733805309642,0.0,1000.0,0.0,0.0,2.3843284886642566,0.0,6103.06031694185,0.0,251.84985975785688,0.0,1.5790342049923958,0.0,1.5790342049923958,0.0,394.3250226107511,0.0,251.84985975785688,0.0,0.711258427663283,0.0,2.3843284886642566,0.8254930246519764,0.711258427663283,1.5790342049923958,11.081393829345703,268.53465394544145
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,50,3.3942204755600556,0.8384843781590462,0.5834362030029296,0.0,5.978774886131287,0.0,1000.0,0.0,0.0,2.418049909413272,0.0,6538.112616997671,0.0,247.38650146484375,0.0,1.550791584168515,0.0,1.550791584168515,0.0,371.57245483398435,0.0,247.38650146484375,0.0,0.7215884643793106,0.0,2.418049909413272,0.8132909500441412,0.7215884643793106,1.550791584168515,12.369325073242187,326.90563084988355
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,51,3.4821848985741073,0.837774578332901,0.5943081846833229,0.0,6.918875293298201,0.0,1000.0,0.0,0.0,2.4475463411088505,0.0,6783.430291721333,0.0,237.3306260542436,0.0,1.4898889370008452,0.0,1.4898889370008452,0.0,398.6016915061257,0.0,237.3306260542436,0.0,0.759450535882603,0.0,2.4475463411088505,0.8067975676781166,0.759450535882603,1.4898889370008452,10.442547546386718,298.4709328357386
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,52,3.4821848985741073,0.8372693787813187,0.5982759031653404,0.0,6.466179643358503,0.0,1000.0,0.0,0.0,2.478481442375081,0.0,5753.9284900078,0.0,233.19171360560827,0.0,1.4628674892600588,0.0,1.4628674892600588,0.0,394.88187590099517,0.0,233.19171360560827,0.0,0.7697082176094964,0.0,2.478481442375081,0.7935157720840516,0.7697082176094964,1.4628674892600588,9.794051971435547,241.66499658032757
