algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,0,2.0085048948333024,0.09030000120401382,2.3154051303863525,0.0,0.4359054405093193,0.0,6.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,1,2.255098147312124,0.11879999935626984,2.2821764945983887,0.0,0.43789471161365506,0.0,6.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,2,2.400431065523688,0.17889998853206635,2.2431318759918213,0.0,0.4394803159236908,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,3,2.4496653084249767,0.22999998927116394,2.202737331390381,0.0,0.4399422693252564,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,4,2.4988995513262653,0.2759000062942505,2.1651902198791504,0.0,0.4388615854382515,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,5,2.548133794227554,0.3105999827384949,2.134089946746826,0.0,0.4378868557214737,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,6,2.5973680371288426,0.34389999508857727,2.1015002727508545,0.0,0.43510414457321167,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,7,2.646602280030131,0.3951999843120575,2.0586049556732178,0.0,0.43233442860841753,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,8,2.6958365229314194,0.446399986743927,2.013507604598999,0.0,0.4286872539520264,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,9,2.745070765832708,0.48819997906684875,1.9713587760925293,0.0,0.4243701980113983,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,10,2.7943050087339967,0.5187000036239624,1.9294228553771973,0.0,0.4193420040011406,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,11,2.843539251635285,0.5461999773979187,1.884268879890442,0.0,0.4144007973074913,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,12,2.8927734945365735,0.5655999779701233,1.8443464040756226,0.0,0.40790070170164106,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,13,2.942007737437862,0.578000009059906,1.806099772453308,0.0,0.40223259276151657,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,14,2.991241980339151,0.5867999792098999,1.783066749572754,0.0,0.3963757622241974,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,15,3.0404762232404394,0.5961999893188477,1.7509931325912476,0.0,0.39275318521261215,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,16,3.0897104661417276,0.6075999736785889,1.7180755138397217,0.0,0.38732732307910916,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,17,3.1389447090430163,0.6162999868392944,1.6864567995071411,0.0,0.38122716492414477,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,18,3.188178951944305,0.6248999834060669,1.6550605297088623,0.0,0.37485107576847077,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,19,3.237413194845593,0.6315999627113342,1.6270579099655151,0.0,0.3688420063853264,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,20,3.2866474377468817,0.6401000022888184,1.5898253917694092,0.0,0.3631888101696968,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,21,3.3358816806481704,0.6446999907493591,1.5644699335098267,0.0,0.35511570954322813,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,22,3.385115923549459,0.652999997138977,1.529662847518921,0.0,0.34971413457393646,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,23,3.4343501664507476,0.6567999720573425,1.5042803287506104,0.0,0.3418249692320824,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,24,3.4835844093520363,0.6631999611854553,1.4796878099441528,0.0,0.3360495987534523,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,25,3.532818652253325,0.6654999852180481,1.4562824964523315,0.0,0.33013228833675384,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,26,3.5820528951546136,0.6685000061988831,1.4313554763793945,0.0,0.324470027089119,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,27,3.631287138055902,0.6741999983787537,1.4017282724380493,0.0,0.31820958507061003,0.0,5.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,28,3.6701948758186136,0.6789000034332275,1.3718745708465576,0.0,0.31062338650226595,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,29,3.690275332611267,0.682699978351593,1.3497940301895142,0.0,0.30271678763628007,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,30,3.7103557894039203,0.6823999881744385,1.315162181854248,0.0,0.2969102182984352,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,31,3.7304362461965734,0.6882999539375305,1.2954905033111572,0.0,0.2873941982984543,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,32,3.750516702989227,0.6890000104904175,1.2732422351837158,0.0,0.28200522118806837,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,33,3.7705971597818806,0.6922999620437622,1.2508411407470703,0.0,0.27575246268510817,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,34,3.790677616574534,0.6972000002861023,1.2151050567626953,0.0,0.26937252521514893,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,35,3.810758073367187,0.6995999813079834,1.2004327774047852,0.0,0.2590421378910542,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,36,3.8308385301598404,0.7027999758720398,1.1774755716323853,0.0,0.25480426198244094,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,37,3.850918986952494,0.7032999992370605,1.1611051559448242,0.0,0.2481090443432331,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,38,3.8709994437451476,0.7069000005722046,1.1305662393569946,0.0,0.24331742572784423,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,39,3.8910799005378003,0.7077999711036682,1.1120580434799194,0.0,0.233832699239254,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,40,3.911160357330454,0.710599958896637,1.0885127782821655,0.0,0.22799254351854326,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,41,3.9312408141231074,0.7163999676704407,1.061515212059021,0.0,0.22060849288105966,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,42,3.951321270915761,0.7175999879837036,1.045154333114624,0.0,0.2122525038719177,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,43,3.9714017277084137,0.7184999585151672,1.024815559387207,0.0,0.20709272536635398,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,44,3.9914821845010673,0.7222999930381775,1.0030330419540405,0.0,0.20063267043232919,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,45,4.011562641293721,0.7222999930381775,0.9862406253814697,0.0,0.19351446759700774,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,46,4.031643098086374,0.7238999605178833,0.9755128622055054,0.0,0.188043004155159,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,47,4.051723554879027,0.7270999550819397,0.9561948776245117,0.0,0.18467302814126016,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,48,4.071804011671681,0.7281999588012695,0.9456853270530701,0.0,0.1782647402882576,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,49,4.091884468464334,0.729200005531311,0.9343543648719788,0.0,0.1746585818231106,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,50,4.111964925256988,0.7311999797821045,0.9211059212684631,0.0,0.1711639923453331,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,51,4.132045382049641,0.733199954032898,0.9104591608047485,0.0,0.16678505340218544,0.0,4.0,1.0,0.0
cfl-fedavg,scale,fashion_mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,52,4.152125838842294,0.7354999780654907,0.9002009630203247,0.0,0.1633153796494007,0.0,4.0,1.0,0.0
