algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,3.2981257433932503,0.8470109783411026,0.5900000154972076,0.0,2.7460696399211884,0.0,1000.0,0.0,0.0,0.893116275469462,0.0,0.9432240909664849,0.0,2383.6216867497164,0.0,0.9432240909664849,0.0,92.01081959406535,0.0,1.5622072540749896,0.0,150.4137757619222,0.0,150.4138863881429,0.0,1.5622072540749896,1.3868630145062972,0.893116275469462,0.9432240909664849,7.219861236572266,114.41384096398639
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,3.2981257433932503,0.8500359773635864,0.5728567671775818,0.0,2.0926855098117483,0.0,1000.0,0.0,0.0,0.8839535388079557,0.0,0.9415691329946291,0.0,2539.723215122685,0.0,0.9415691329946291,0.0,45.0889386697249,0.0,1.6324053550176991,0.0,150.01258988813922,0.0,150.01251428777522,0.0,1.6324053550176991,1.393294806342495,0.8839535388079557,0.9415691329946291,6.600553955078125,111.74782146539816
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,3.3207458236210403,0.8519819796085357,0.5593546749353409,0.0,2.401126426199208,0.0,1000.0,0.0,0.0,0.8698570235915806,0.0,0.9439747628296249,0.0,2719.693093940306,0.0,0.9439747628296249,0.0,64.47103019382642,0.0,1.6917626551724683,0.0,150.51065925929856,0.0,150.51069707455844,0.0,1.6917626551724683,1.3988550326715699,0.8698570235915806,0.9439747628296249,6.923490325927735,125.10588232125407
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,3.351215306359668,0.8538979786634445,0.5470036129951477,0.0,2.3759844574061306,0.0,1000.0,0.0,0.0,0.9046495881947604,0.0,0.905810027910966,0.0,2589.518223415324,0.0,0.905810027910966,0.0,63.31226556951349,0.0,1.763620961555828,0.0,144.61392974853516,0.0,144.613994251598,0.0,1.763620961555828,1.4008675778753537,0.9046495881947604,0.905810027910966,6.363012908935547,113.93880183027426
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,3.4570885623480603,0.8558169775009156,0.535412139415741,0.0,2.040675393172673,0.0,1000.0,0.0,0.0,0.8925948164292744,0.0,0.906666679907321,0.0,2829.5710855868633,0.0,0.906666679907321,0.0,55.002297265189036,0.0,1.8455787322377852,0.0,144.6721589224679,0.0,144.6723474775042,0.0,1.8455787322377852,1.4012132160489368,0.8925948164292744,0.906666679907321,8.101640899658204,158.45598079286435
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,3.4570885623480603,0.8577781779766083,0.5247342056035995,0.0,2.152737123625619,0.0,1000.0,0.0,0.0,0.8268091252871922,0.0,0.9509700405581855,0.0,3061.7226154531236,0.0,0.9509700405581855,0.0,42.42913218906948,0.0,1.892939494509365,0.0,151.7814737955729,0.0,151.7813764299665,0.0,1.892939494509365,1.4014563578727328,0.8268091252871922,0.9509700405581855,6.374821899414062,128.59234984903117
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,3.4655276230959515,0.8580109786987304,0.5183523687124252,0.0,2.5821500548294614,0.0,1000.0,0.0,0.0,0.815948120185307,0.0,0.9502238913141002,0.0,2952.1482213932336,0.0,0.9502238913141002,0.0,78.9352000100272,0.0,1.942262602503091,0.0,151.35558373587472,0.0,151.35560607910156,0.0,1.942262602503091,1.4017194578566607,0.815948120185307,0.9502238913141002,8.475912689208984,165.3203003980211
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,3.511743912456743,0.8594257781505584,0.5101599916815758,0.0,2.3593516576857794,0.0,1000.0,0.0,0.0,0.8780017807370141,0.0,0.891465287153346,0.0,2967.4317899007024,0.0,0.891465287153346,0.0,46.934424990699405,0.0,2.012155065938552,0.0,142.16734386625745,0.0,142.16738600957962,0.0,2.012155065938552,1.3964945572428114,0.8780017807370141,0.891465287153346,5.971028442382813,124.63213517582949
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,3.5621068238748648,0.860821180343628,0.5023004940152168,0.0,2.431024634838104,0.0,1000.0,0.0,0.0,0.8512397646903992,0.0,0.903646806779902,0.0,3212.5437603105865,0.0,0.903646806779902,0.0,41.24810762405396,0.0,2.0621967129359633,0.0,144.2036926269531,0.0,144.203511428833,0.0,2.0621967129359633,1.3941000454284895,0.8512397646903992,0.903646806779902,5.768147705078125,128.5017504124235
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,3.6902813345462233,0.8623993792533875,0.494338315486908,0.0,1.9713611728266667,0.0,1000.0,0.0,0.0,0.9158430632792021,0.0,0.8443422712904529,0.0,3127.150520527783,0.0,0.8443422712904529,0.0,36.275182824385794,0.0,2.1317701326054457,0.0,134.81983345433287,0.0,134.81992059004935,0.0,2.1317701326054457,1.3839913391068903,0.9158430632792021,0.8443422712904529,5.123153671264649,118.83171978005578
