algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,n_rejected_honest,n_rejected_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,V_agg_norm_honest,V_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,50,10,1.1,2.0,1.0,iid,1.0,99,0,4.752728336819822,0.1755199957638979,2.272092121839523,0.0,0.11219247728586197,0.11217026710510254,1000.0,1.0,0.0,0.0,0.0,2.2937722504138947,1.786143720149994,4.752728336819822,0.0,0.22937723211944103,0.17861437648534775,0.25208909945798136,0.0011934057586214036,4.752728336819822,0.0,0.5,0.8501089416498573,0.9910899854056384
trust-aware,scale,mnist,42,50,10,1.1,2.0,1.0,iid,1.0,99,1,8.087861628831664,0.2199299953877926,2.2489993929862977,0.0,0.11225279811769724,0.11170991212129593,1000.0,1.0,0.0,0.0,0.0,1.4115577682852745,0.8579258441925048,8.087861628831664,0.0,0.25250140838325025,0.18250346481800078,0.20586224396816571,0.0009726801108069143,8.087861628831664,0.0,0.75,0.7227225148048287,0.9835948543268738
