algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,0,1.1,1.0,0.05,iid,1.0,99999,0,6.727042451552606,0.36361298988262813,1.95404448111852,0.0,0.9563316617693219,0.0,1000.0,0.0,0.0,0.6002290721471661,0.0,284.71926595811254,0.0,1.0,0.0,0.1569643238695608,0.0,0.6002290721471661,0.0,6.215985247067043,0.0,95.63209969656808,0.0,95.63209969656808,0.0,0.1569643238695608,1.0155135996538696,1.0,0.6002290721471661,2.2314156595865886,6.643449539022627
noise-game,scale,mnist,42,300,0,1.1,1.0,0.05,iid,1.0,99999,1,7.901317022272815,0.5782576516270638,1.5551256036758423,0.0,1.0356315448880196,0.0,1000.0,0.0,0.0,0.6002290721471661,0.0,272.9914316369436,0.0,0.9839374870061874,0.0,0.47872146874681715,0.0,0.6002290721471661,0.0,11.614421874284744,0.0,95.71888065338135,0.0,95.71888065338135,0.0,0.47872146874681715,1.747301014647076,0.9839374870061874,0.6002290721471661,5.105006968180339,14.559543020636992
noise-game,scale,mnist,42,300,0,1.1,1.0,0.05,iid,1.0,99999,2,8.575176767593526,0.7386256486177445,1.2118433304627736,0.0,1.0567053198814391,0.0,1000.0,0.0,0.0,0.6002290721471663,0.0,291.39362045916243,0.0,0.9963579058647156,0.0,0.7948963156370077,0.0,0.6002290721471663,0.0,11.286034965515137,0.0,95.76124471028646,0.0,95.76124471028646,0.0,0.7948963156370077,2.1907066791963477,0.9963579058647156,0.6002290721471663,4.788062235514323,14.56968102295812
