algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,2.4382619976432234,0.8254237788915634,0.7469584219455719,0.0,1.0462740563577222,0.0,1000.0,0.0,0.0,0.9492680603458036,0.0,17.41755122523154,0.0,0.9699478291653248,0.0,0.9699478291653248,0.0,1716.7435243868372,0.0,154.64368364887852,0.0,154.64366297568046,0.0,0.9512178084261215,0.0,0.9512178084261215,1.0860077579653216,0.9492680603458036,0.9699478291653248,9.587907104492187,106.43809851198388
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,2.4608881292287155,0.8315403801202774,0.7075599859952927,0.0,1.131521717707316,0.0,1000.0,0.0,0.0,0.942628397544225,0.0,18.872573725382487,0.0,0.9682995456872482,0.0,0.9682995456872482,0.0,1848.1518464742655,0.0,154.4006556193034,0.0,154.4006576538086,0.0,1.0260585716830575,0.0,1.0260585716830575,1.1032450963260494,0.942628397544225,0.9682995456872482,9.264039459228515,110.88911078845595
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,2.4861554409085427,0.8366167795658112,0.6741518414020539,0.0,1.1366755783557891,0.0,1000.0,0.0,0.0,0.9244770069917043,0.0,22.064919583002727,0.0,0.9770739376025512,0.0,0.9770739376025512,0.0,2022.9010964118338,0.0,156.01952260335287,0.0,156.01951395670574,0.0,1.0966755216650919,0.0,1.0966755216650919,1.115512614259547,0.9244770069917043,0.9770739376025512,9.361170837402344,121.37406578471001
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,2.4871666056025794,0.8414495801925659,0.6454408357143402,0.0,1.1220058070288763,0.0,1000.0,0.0,0.0,0.9029969948309439,0.0,16.50921012737133,0.0,0.988646859605438,0.0,0.988646859605438,0.0,2181.93050251723,0.0,157.7418450249566,0.0,157.74202191388164,0.0,1.1477221962822743,0.0,1.1477221962822743,1.1221567305560238,0.9029969948309439,0.988646859605438,8.51806918334961,117.8242471359304
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,2.4871666056025794,0.8456491786241531,0.6203135385513305,0.0,1.0986001127296023,0.0,1000.0,0.0,0.0,0.9537757833798727,0.0,9.616326358583239,0.0,0.9353707529270348,0.0,0.9353707529270348,0.0,2213.5293628906716,0.0,149.2451163397895,0.0,149.2449662950304,0.0,1.2039666154092015,0.0,1.2039666154092015,1.1268174771670931,0.9537757833798727,0.9353707529270348,5.372818786621094,79.68705706406419
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,2.531706308809902,0.8490129791498184,0.5991007981300354,0.0,1.2197495439778203,0.0,1000.0,0.0,0.0,0.9134734713512919,0.0,15.835489584052045,0.0,0.9636625832938897,0.0,0.9636625832938897,0.0,2378.1318924093616,0.0,153.5719047214674,0.0,153.57182245669156,0.0,1.2515538203183643,0.0,1.2515538203183643,1.1300914483595972,0.9134734713512919,0.9636625832938897,7.064303833007813,109.39406705083066
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,2.531706308809902,0.8520479774475098,0.5806241431236268,0.0,1.425182322661082,0.0,1000.0,0.0,0.0,0.9116515393058459,0.0,24.71133057276408,0.0,0.9575870708286228,0.0,0.9575870708286228,0.0,2501.08391619771,0.0,152.71077410380045,0.0,152.71079317728677,0.0,1.2835005597064046,0.0,1.2835005597064046,1.1358610128203497,0.9116515393058459,0.9575870708286228,7.330118072509766,120.05202797749008
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,2.546530765720914,0.8547759770154953,0.5639596441984177,0.0,1.1002810976722024,0.0,1000.0,0.0,0.0,0.8994023068384691,0.0,12.162770314650102,0.0,0.9606485878101224,0.0,0.9606485878101224,0.0,2644.8786196439537,0.0,153.05033389004794,0.0,153.05038729580966,0.0,1.3361977688765123,0.0,1.3361977688765123,1.1358075324541883,0.8994023068384691,0.9606485878101224,6.734217041015625,116.37465926433397
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,2.5826057263989335,0.8570793797969818,0.5495024119615555,0.0,1.2449437094771343,0.0,1000.0,0.0,0.0,0.8821570743685183,0.0,17.218645800714906,0.0,0.9679264935589569,0.0,0.9679264935589569,0.0,2837.7052043009853,0.0,154.3278165070907,0.0,154.3278178339419,0.0,1.3802121159193983,0.0,1.3802121159193983,1.1356581582419805,0.8821570743685183,0.9679264935589569,7.099079620361328,130.5344393978453
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,2.649213818065763,0.8591791789531708,0.5367232203483582,0.0,1.268112388524142,0.0,1000.0,0.0,0.0,0.9298117404634302,0.0,18.131441853263162,0.0,0.919279173128653,0.0,0.919279173128653,0.0,2758.9011730941597,0.0,146.7651991410689,0.0,146.7651041204279,0.0,1.4349823448807557,0.0,1.4349823448807557,1.1333255593801352,0.9298117404634302,0.919279173128653,6.457664581298828,121.39165161614304
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,2.7366609451845285,0.8610455780029297,0.5250057896375656,0.0,1.058204540184566,0.0,1000.0,0.0,0.0,0.9009770261389869,0.0,14.803094216755458,0.0,0.9365256011068374,0.0,0.9365256011068374,0.0,2966.737869163748,0.0,149.4354362487793,0.0,149.43533761160714,0.0,1.497162960969896,0.0,1.497162960969896,1.129321154251303,0.9009770261389869,0.9365256011068374,8.36837890625,166.1373206731699
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,2.7366609451845285,0.862803976893425,0.5144695402979851,0.0,1.131429672241211,0.0,1000.0,0.0,0.0,0.8438012827010382,0.0,11.599697567167736,0.0,0.9773970193261612,0.0,0.9773970193261612,0.0,3215.2834652202473,0.0,155.99617295038132,0.0,155.99619983491442,0.0,1.53261681571512,0.0,1.53261681571512,1.126806744548689,0.8438012827010382,0.9773970193261612,6.551840393066406,135.04190553925034
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,2.762524658091097,0.8638941775560379,0.5059853738546372,0.0,1.383583100778716,0.0,1000.0,0.0,0.0,0.8446072063275746,0.0,22.599669456481934,0.0,0.9689331745917574,0.0,0.9689331745917574,0.0,3207.58675723853,0.0,154.33931841169084,0.0,154.3393096923828,0.0,1.5704076730829584,0.0,1.5704076730829584,1.125290132860596,0.8446072063275746,0.9689331745917574,8.643001342773438,179.62485840535774
