2026-05-01 17:14:09 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['2.96', '4.60', '4.12', '2.98', '2.98'], attacker: []
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 12 round 8: NSR=2466.90 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 13 round 8: NSR=2480.09 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 18 round 8: NSR=2368.72 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 19 round 8: NSR=2207.15 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 35 round 8: NSR=2572.52 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 70 round 8: NSR=2462.56 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 80 round 8: NSR=2427.51 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 108 round 8: NSR=2369.16 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 110 round 8: NSR=2476.09 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 113 round 8: NSR=2494.88 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 137 round 8: NSR=2479.38 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 138 round 8: NSR=2518.31 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 158 round 8: NSR=3326.66 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 191 round 8: NSR=2479.14 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 194 round 8: NSR=2500.21 exceeds 2000.0
2026-05-01 17:14:12 | WARNING | dpfl.algorithms.noise_game.simulator | Node 201 round 8: NSR=2580.71 exceeds 2000.0
2026-05-01 17:14:13 | WARNING | dpfl.algorithms.noise_game.simulator | Node 203 round 8: NSR=2569.82 exceeds 2000.0
2026-05-01 17:14:13 | WARNING | dpfl.algorithms.noise_game.simulator | Node 237 round 8: NSR=2459.21 exceeds 2000.0
2026-05-01 17:14:13 | WARNING | dpfl.algorithms.noise_game.simulator | Node 269 round 8: NSR=2368.64 exceeds 2000.0
2026-05-01 17:14:13 | WARNING | dpfl.algorithms.noise_game.simulator | Node 271 round 8: NSR=3599.45 exceeds 2000.0
2026-05-01 17:14:13 | WARNING | dpfl.algorithms.noise_game.simulator | Node 275 round 8: NSR=2785.56 exceeds 2000.0
2026-05-01 17:14:13 | WARNING | dpfl.algorithms.noise_game.simulator | Node 276 round 8: NSR=2480.37 exceeds 2000.0
2026-05-01 17:14:13 | WARNING | dpfl.algorithms.noise_game.simulator | Node 280 round 8: NSR=3281.44 exceeds 2000.0
2026-05-01 17:14:14 | INFO    | dpfl.core.base_simulator | Round   9/50 | Acc: 0.8553 | Loss: 0.5699 | eps_max: 1.46 eps_avg: 0.49 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 17:14:14 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['2.96', '2.95', '4.54', '6.73', '2.94'], attacker: []
2026-05-01 17:14:15 | WARNING | dpfl.algorithms.noise_game.simulator | Node 2 round 9: NSR=3241.99 exceeds 2000.0
2026-05-01 17:14:15 | WARNING | dpfl.algorithms.noise_game.simulator | Node 7 round 9: NSR=2743.73 exceeds 2000.0
2026-05-01 17:14:15 | WARNING | dpfl.algorithms.noise_game.simulator | Node 20 round 9: NSR=3683.09 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 31 round 9: NSR=2767.01 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 38 round 9: NSR=3690.60 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 40 round 9: NSR=2878.81 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 68 round 9: NSR=3230.03 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 75 round 9: NSR=3632.56 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 156 round 9: NSR=2802.73 exceeds 2000.0
