2026-05-01 15:44:23 | INFO    | dpfl | Experiment start: algorithm=noise_game, dataset=mnist, model=mlp, device=cuda
2026-05-01 15:44:23 | INFO    | dpfl | Config: nodes=300, attackers=0, rounds=50, noise_mode=none, attack=scale
2026-05-01 15:44:23 | INFO    | dpfl.data.mnist_dataset | Loading MNIST dataset...
2026-05-01 15:44:23 | INFO    | dpfl.data.mnist_dataset | MNIST loaded: 60000 train, 10000 test samples
2026-05-01 15:45:35 | INFO    | dpfl.core.base_simulator | Vectorized state ready: param_spec.D=25450, X_test=(10000, 1, 28, 28), train clients N=300, max_n_samples=2000
2026-05-01 15:45:35 | INFO    | dpfl.core.base_simulator | Setup complete: 300 nodes (0 attackers), param_dim=25450, split=iid
2026-05-01 15:45:35 | DEBUG   | dpfl.core.base_simulator | Attacker IDs: set()
2026-05-01 15:45:37 | INFO    | dpfl.core.base_simulator | Round   1/50 | Acc: 0.3598 | Loss: 1.9572 | eps_max: 2.37 eps_avg: 0.16 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 15:45:37 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['2.45', '2.47', '2.46', '2.45', '2.43'], attacker: []
2026-05-01 15:45:38 | INFO    | dpfl.core.base_simulator | Round   2/50 | Acc: 0.5701 | Loss: 1.5629 | eps_max: 2.58 eps_avg: 0.40 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 15:45:38 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['2.40', '2.40', '4.00', '2.40', '4.01'], attacker: []
2026-05-01 15:45:40 | INFO    | dpfl.core.base_simulator | Round   3/50 | Acc: 0.7287 | Loss: 1.2222 | eps_max: 2.74 eps_avg: 0.62 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 15:45:40 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['2.36', '6.09', '4.10', '2.36', '2.36'], attacker: []
2026-05-01 15:45:41 | INFO    | dpfl.core.base_simulator | Round   4/50 | Acc: 0.7806 | Loss: 0.9872 | eps_max: 2.74 eps_avg: 0.81 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 15:45:41 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['2.30', '2.32', '2.31', '2.31', '2.32'], attacker: []
2026-05-01 15:45:43 | INFO    | dpfl.core.base_simulator | Round   5/50 | Acc: 0.8072 | Loss: 0.8366 | eps_max: 2.81 eps_avg: 0.99 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 15:45:43 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['2.23', '2.25', '4.00', '3.76', '2.26'], attacker: []
2026-05-01 15:45:44 | INFO    | dpfl.core.base_simulator | Round   6/50 | Acc: 0.8258 | Loss: 0.7341 | eps_max: 2.93 eps_avg: 1.08 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 15:45:44 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['4.08', '2.21', '2.20', '5.52', '3.93'], attacker: []
2026-05-01 15:45:45 | INFO    | dpfl.core.base_simulator | Round   7/50 | Acc: 0.8369 | Loss: 0.6654 | eps_max: 3.01 eps_avg: 1.24 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 15:45:45 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['4.63', '2.15', '3.99', '2.16', '5.86'], attacker: []
2026-05-01 15:45:46 | WARNING | dpfl.algorithms.noise_game.simulator | Node 18 round 7: NSR=2038.18 exceeds 2000.0
2026-05-01 15:45:46 | WARNING | dpfl.algorithms.noise_game.simulator | Node 86 round 7: NSR=2055.96 exceeds 2000.0
2026-05-01 15:45:47 | INFO    | dpfl.core.base_simulator | Round   8/50 | Acc: 0.8451 | Loss: 0.6151 | eps_max: 3.18 eps_avg: 1.45 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 15:45:47 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['3.17', '2.10', '3.05', '5.78', '2.10'], attacker: []
2026-05-01 15:45:47 | WARNING | dpfl.algorithms.noise_game.simulator | Node 80 round 8: NSR=2161.99 exceeds 2000.0
2026-05-01 15:45:47 | WARNING | dpfl.algorithms.noise_game.simulator | Node 243 round 8: NSR=2268.80 exceeds 2000.0
