algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,0,4.143793681719127,0.10319899749010801,2.7989747873942057,0.0,11.168473221460978,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,1,5.199725734606589,0.11372699730098247,3.2004878083864847,0.0,11.171904630661011,0.0,4.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,2,5.539885819732696,0.12094366366664569,3.6356355134646097,0.0,11.160980126063029,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,3,5.785950599629296,0.12776533000171184,4.035589792728424,0.0,11.162700840632121,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,4,6.032015379525896,0.13415333005289237,4.43232105255127,0.0,11.16821091334025,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,5,6.278080159422497,0.13944166307648023,4.850514013767242,0.0,11.167566703160604,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,6,6.524144939319097,0.14228766324619452,5.213809579213461,0.0,11.165341132481894,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,7,6.770209719215697,0.14589099654306967,5.534374117056529,0.0,11.167648468017578,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,8,7.0162744991122965,0.1512003293633461,5.835060141881307,0.0,11.168349850972493,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,9,7.262339279008898,0.15451332949101926,6.106817265351613,0.0,11.160800387064615,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,10,7.508404058905497,0.16128266237676145,6.314274539152781,0.0,11.169301872253419,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,11,7.754468838802098,0.1654756624251604,6.4802209027608235,0.0,11.16280523300171,0.0,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,300,0,0.7,0.1,0.1,iid,1.0,99999,12,8.000533618698698,0.167394328986605,6.830446524620056,0.0,11.161193933486938,0.0,3.0,1.0,0.0
